,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,20,EDM,C,82,30,70,100,27,26,26,3,1,6,45,24,1,251,12.0,420,1732:47,21:08,348,458,43.2,29,34,76,54,ASGASnhl-1Byng-14Hart-1Ross-1Selke-16Pearson-1,mcdavco01
2,Sidney Crosby,29,PIT,C,75,44,45,89,17,24,30,14,0,5,34,11,0,255,17.3,411,1490:50,19:53,842,906,48.2,27,80,39,70,ASGASnhl-2Byng-16Hart-2Richard-1Selke-10,crosbsi01
3,Patrick Kane,28,CHI,RW,82,34,55,89,11,32,27,7,0,5,39,16,0,292,11.6,491,1754:23,21:24,7,44,13.7,15,28,49,42,ASGASnhl-1Hart-6,kanepa01
4,Nicklas Bäckström,29,WSH,C,82,23,63,86,17,38,15,8,0,5,36,27,0,162,14.2,269,1497:19,18:16,685,648,51.4,33,45,61,54,ASnhl-3Byng-27Hart-9Selke-7,backsni02
5,Nikita Kucherov,23,TBL,RW,74,40,45,85,13,38,23,17,0,7,30,15,0,246,16.3,464,1438:28,19:26,0,0,,20,30,54,64,ASGASnhl-2Hart-8Selke-37,kucheni01
6,Brad Marchand,28,BOS,LW,80,39,46,85,18,81,27,9,3,8,29,15,2,226,17.3,408,1554:55,19:26,13,23,36.1,35,51,69,84,ASGASnhl-1ASnhl-8Hart-7Selke-12,marchbr03
7,Mark Scheifele,23,WPG,C,79,32,50,82,18,38,25,7,0,5,40,8,2,160,20.0,278,1624:07,20:34,635,826,43.5,34,49,67,42,ASnhl-4Byng-60Selke-30,scheima01
8,Leon Draisaitl,21,EDM,C,82,29,48,77,7,20,19,10,0,5,31,17,0,172,16.9,297,1548:29,18:53,476,496,49.0,36,41,75,75,ASnhl-4ASnhl-8Byng-17,draisle01
9,Brent Burns,31,SJS,D,82,29,47,76,19,40,21,8,0,6,29,17,1,320,9.1,775,2038:44,24:52,0,0,,142,69,52,153,ASGASnhl-1Hart-4Norris-1,burnsbr01
10,Vladimir Tarasenko,25,STL,RW,82,39,36,75,-1,12,30,9,0,8,23,13,0,286,13.6,526,1514:32,18:28,5,5,50.0,31,50,29,31,ASGASnhl-3Byng-2Hart-15,tarasvl01
11,Artemi Panarin,25,CHI,LW,82,31,43,74,18,21,22,9,0,5,35,8,0,211,14.7,396,1596:38,19:28,2,8,20.0,14,23,57,55,ASnhl-2Byng-22,panarar01
12,Blake Wheeler,30,WPG,RW,82,26,48,74,6,47,19,5,2,4,31,16,1,259,10.0,419,1651:39,20:09,43,51,45.7,51,100,39,44,ASnhl-5Selke-48,wheelbl01
13,Ryan Getzlaf,31,ANA,C,74,15,58,73,7,49,7,6,2,3,43,14,1,138,10.9,288,1559:13,21:04,509,503,50.3,88,99,61,68,ASnhl-8Selke-48,getzlry01
14,Victor Hedman,26,TBL,D,79,16,56,72,3,47,12,4,0,5,27,29,0,166,9.6,408,1936:03,24:30,0,0,,132,93,39,73,ASGASnhl-3Byng-38Hart-14Norris-3,hedmavi01
15,Evgeni Malkin,30,PIT,C,62,33,39,72,18,77,22,11,0,6,27,12,0,191,17.3,313,1154:23,18:37,365,481,43.1,25,40,52,54,ASnhl-6,malkiev01
16,Tyler Seguin,25,DAL,C,82,26,46,72,-15,22,15,11,0,4,28,18,0,301,8.6,507,1513:46,18:28,401,385,51.0,26,60,37,39,ASGByng-39,seguity01
17,Erik Karlsson,26,OTT,D,77,17,54,71,10,28,13,4,0,5,29,23,2,218,7.8,506,2066:29,26:50,0,0,,201,67,59,106,ASGASnhl-2Byng-15Hart-5Norris-2,karlser01
18,Phil Kessel,29,PIT,RW,82,23,47,70,3,20,15,8,0,4,25,22,0,229,10.0,407,1470:59,17:56,5,10,33.3,15,12,15,51,Byng-44,kesseph01
