,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
19,David Pastrňák,20,BOS,RW,75,34,36,70,11,34,24,10,0,6,22,14,0,262,13.0,465,1348:41,17:59,2,1,66.7,32,72,50,65,ASnhl-8,pastrda01
20,Jamie Benn,27,DAL,LW,77,26,43,69,-9,66,13,12,1,4,29,14,0,201,12.9,359,1491:47,19:22,212,200,51.5,47,89,55,55,ASnhl-5,bennja01
21,Mikael Granlund,24,MIN,C,81,26,43,69,23,12,16,7,3,4,29,13,1,177,14.7,317,1524:47,18:49,16,17,48.5,50,50,43,33,ASnhl-9Byng-3Selke-13,granlmi01
22,Auston Matthews,19,TOR,C,82,40,29,69,2,14,32,8,0,8,16,13,0,279,14.3,476,1445:45,17:38,530,600,46.9,61,21,76,44,ASGASnhl-5AR-1Byng-6Hart-11Calder-1Selke-38,matthau01
23,Alex Ovechkin,31,WSH,LW,82,33,36,69,6,50,16,17,0,7,27,9,0,313,10.5,624,1506:01,18:22,0,1,0.0,29,216,29,46,ASGASnhl-3Hart-12,ovechal01
24,Joe Pavelski,32,SJS,C,81,29,39,68,11,34,21,7,1,7,24,15,0,233,12.4,418,1548:30,19:07,448,407,52.4,73,130,33,84,ASGByng-30Selke-32,paveljo01
25,Henrik Zetterberg,36,DET,C,82,17,51,68,15,22,15,2,0,0,40,11,0,195,8.7,335,1616:48,19:43,705,657,51.8,30,58,38,37,ASnhl-7Byng-9Selke-18,zettehe01
26,Max Pacioretty,28,MTL,LW,81,35,32,67,15,38,26,8,1,7,26,5,1,268,13.1,500,1553:18,19:11,27,23,54.0,35,63,44,47,ASnhl-4Byng-28,pacioma01
27,Jeff Carter,32,LAK,C,82,32,34,66,2,41,21,10,1,9,22,12,0,250,12.8,468,1478:37,18:02,735,680,51.9,37,86,24,46,ASGSelke-36,carteje01
28,John Tavares,26,NYI,C,77,28,38,66,4,38,20,7,1,3,26,11,1,260,10.8,471,1572:15,20:25,824,804,50.6,20,42,63,81,ASGASnhl-7Byng-45Selke-8,tavarjo01
29,Eric Staal,32,MIN,C,82,28,37,65,17,34,23,4,1,8,24,12,1,211,13.3,361,1525:48,18:36,577,597,49.1,39,42,51,24,Selke-40,staaler01
30,Nikolaj Ehlers,20,WPG,LW,82,25,39,64,1,38,20,5,0,4,32,7,0,204,12.3,378,1433:52,17:29,0,4,0.0,28,43,36,51,,ehlerni01
31,Patrik Laine,18,WPG,RW,73,36,28,64,7,26,27,9,0,5,23,5,0,204,17.6,360,1307:37,17:55,0,3,0.0,33,80,43,55,ASGASnhl-6AR-1Byng-49Calder-2,lainepa01
32,Jeff Skinner,24,CAR,LW,79,37,26,63,-3,28,30,7,0,4,18,8,0,281,13.2,490,1401:21,17:44,10,17,37.0,28,33,65,65,ASnhl-6Byng-53,skinnje01
33,Cam Atkinson,27,CBJ,RW,82,35,27,62,13,22,22,10,3,9,16,11,0,240,14.6,399,1482:52,18:05,2,1,66.7,34,33,36,21,ASGASnhl-7ASnhl-8Byng-29Hart-17,atkinca01
34,James van Riemsdyk,27,TOR,LW,82,29,33,62,-2,37,23,6,0,5,20,13,0,238,12.2,391,1302:59,15:53,1,4,20.0,29,62,37,23,,vanrija01
35,Viktor Arvidsson,23,NSH,LW,80,31,30,61,16,28,22,4,5,6,23,5,2,246,12.6,412,1372:23,17:09,4,12,25.0,45,23,37,26,ASnhl-10Byng-53Selke-27,arvidvi01
36,Johnny Gaudreau,23,CGY,LW,72,18,43,61,-7,4,14,4,0,3,31,12,0,182,9.9,307,1331:22,18:29,0,0,,14,9,44,86,ASGASnhl-9Byng-1,gaudrjo01
37,Mike Hoffman,27,OTT,LW,74,26,35,61,17,51,13,13,0,8,22,13,0,224,11.6,415,1301:53,17:36,12,9,57.1,21,41,45,54,,hoffmmi02
38,Ryan Johansen,24,NSH,C,82,14,47,61,1,60,9,4,1,3,28,19,0,154,9.1,276,1544:31,18:50,803,669,54.6,28,77,38,51,,johanry01
39,Nazem Kadri,26,TOR,C,82,32,29,61,-7,95,20,12,0,6,24,5,0,236,13.6,430,1359:30,16:35,543,587,48.1,31,124,58,59,Selke-20,kadrina01
40,Mitch Marner,19,TOR,C,77,19,42,61,0,38,15,4,0,5,25,17,0,176,10.8,325,1294:23,16:49,14,23,37.8,39,41,67,62,AR-1Calder-5,marnemi01
41,William Nylander,20,TOR,C,81,22,39,61,-3,32,13,9,0,2,22,17,0,205,10.7,363,1297:00,16:01,49,73,40.2,16,25,59,30,Calder-6,nylanwi01
42,Jakub Voráček,27,PHI,RW,82,20,41,61,-24,56,15,5,0,3,23,18,0,253,7.9,480,1565:11,19:05,3,11,21.4,22,30,24,56,,voracja01
43,Evgeny Kuznetsov,24,WSH,C,82,19,40,59,18,46,16,3,0,4,29,11,0,170,11.2,325,1390:10,16:57,456,581,44.0,18,57,43,59,Selke-48,kuzneev01
44,Alexander Wennberg,22,CBJ,C,80,13,46,59,9,21,11,2,0,5,25,21,0,109,11.9,186,1470:12,18:23,609,676,47.4,56,58,44,31,Byng-32,wennbal01
45,Mats Zuccarello,29,NYR,RW,80,15,44,59,15,26,10,5,0,3,35,9,0,189,7.9,327,1506:18,18:50,6,7,46.2,52,85,70,54,Byng-60,zuccama01
46,Filip Forsberg,22,NSH,LW,82,31,27,58,-4,32,25,3,3,9,21,6,0,234,13.2,466,1518:29,18:31,5,13,27.8,26,97,76,62,Byng-40,forsbfi01
47,Claude Giroux,29,PHI,C,82,14,44,58,-15,38,9,5,0,3,17,26,1,199,7.0,366,1568:02,19:07,977,771,55.9,28,68,38,35,Selke-38,giroucl01
48,Marcus Johansson,26,WSH,LW,82,24,34,58,25,10,19,5,0,5,20,14,0,129,18.6,220,1393:30,17:00,13,15,46.4,22,32,40,48,Byng-18Selke-30,johanma03
49,Ryan Kesler,32,ANA,C,82,22,36,58,8,83,14,8,0,2,24,12,0,186,11.8,352,1746:54,21:18,1029,764,57.4,75,146,22,39,ASGASnhl-8Selke-2,keslery01
50,Mikko Koivu,33,MIN,C,80,18,40,58,27,34,16,2,0,4,20,18,2,139,12.9,259,1529:13,19:07,938,761,55.2,65,32,39,28,Selke-3,koivumi01
51,Sean Monahan,22,CGY,C,82,27,31,58,-1,20,18,8,1,4,22,9,0,199,13.6,348,1441:18,17:35,743,701,51.5,25,34,50,44,,monahse01
52,Jonathan Toews,28,CHI,C,72,21,37,58,7,35,15,6,0,5,26,11,0,199,10.6,311,1451:06,20:09,852,700,54.9,32,43,37,37,ASGASnhl-8Selke-5,toewsjo01
53,Jack Eichel,20,BUF,C,61,24,33,57,-13,22,14,10,0,4,19,14,0,249,9.6,428,1215:08,19:55,310,486,38.9,35,26,38,46,,eicheja01
54,Nino Niederreiter,24,MIN,RW,82,25,32,57,17,53,17,8,0,3,26,6,0,186,13.4,295,1235:53,15:04,0,1,0.0,20,120,32,27,Selke-34,niedeni01
55,Josh Bailey,27,NYI,RW,82,13,43,56,5,12,10,3,0,1,34,9,0,173,7.5,304,1506:28,18:22,8,7,53.3,53,37,54,61,Byng-42,bailejo01
56,Charlie Coyle,24,MIN,C,82,18,38,56,13,36,14,4,0,5,33,5,0,159,11.3,265,1369:34,16:42,114,134,46.0,63,101,30,34,,coylech01
57,J.T. Miller,23,NYR,LW,82,22,34,56,17,21,17,2,3,6,28,5,1,132,16.7,233,1342:03,16:22,157,200,44.0,56,101,49,51,,millejt01
58,T.J. Oshie,30,WSH,RW,68,33,23,56,28,36,25,7,1,4,15,6,2,143,23.1,250,1214:08,17:51,87,93,48.3,50,95,49,33,Selke-19,oshietj01
59,Kevin Shattenkirk,28,2TM,D,80,13,43,56,-7,47,5,8,0,2,24,19,0,161,8.1,319,1595:15,19:56,0,0,,95,88,36,40,ASnhl-8Norris-14,shattke01
59,Kevin Shattenkirk,28,STL,D,61,11,31,42,-11,37,4,7,0,0,18,13,0,115,9.6,245,1211:20,19:51,0,0,,69,70,18,29,,shattke01
59,Kevin Shattenkirk,28,WSH,D,19,2,12,14,4,10,1,1,0,2,6,6,0,46,4.3,74,383:55,20:12,0,0,,26,18,18,11,,shattke01
60,Tyler Bozak,30,TOR,C,78,18,37,55,-1,30,11,7,0,1,26,11,0,145,12.4,238,1281:30,16:26,774,591,56.7,26,45,52,48,,bozakty01
61,Ryan O'Reilly,25,BUF,C,72,20,35,55,-1,10,11,8,1,3,18,16,1,189,10.6,297,1545:00,21:28,1039,752,58.0,45,21,58,27,Byng-10Selke-11,oreilry01
62,Brayden Schenn,25,PHI,C,79,25,30,55,-13,38,8,17,0,7,19,11,0,178,14.0,317,1406:44,17:48,232,262,47.0,42,189,18,36,,schenbr01
63,Jaden Schwartz,24,STL,LW,78,19,36,55,14,18,16,3,0,4,30,6,0,179,10.6,303,1474:42,18:54,67,73,47.9,43,71,59,29,,schwaja01
64,Derek Stepan,26,NYR,C,81,17,38,55,19,16,12,4,1,2,24,14,0,209,8.1,334,1507:17,18:37,716,806,47.0,45,26,51,56,Byng-60Selke-40,stepade01
65,Kyle Turris,27,OTT,C,78,27,28,55,-3,47,21,6,0,6,17,11,0,185,14.6,350,1521:01,19:30,650,575,53.1,61,21,25,57,,turriky01
66,Radim Vrbata,35,ARI,RW,81,20,35,55,-18,16,16,4,0,4,24,11,0,233,8.6,409,1368:41,16:54,17,30,36.2,31,48,34,32,Byng-40,vrbatra01
67,David Krejčí,30,BOS,C,82,23,31,54,-12,26,15,8,0,3,25,6,0,158,14.6,310,1497:40,18:16,657,620,51.4,51,40,60,51,,krejcda01
68,Alexander Radulov,30,MTL,RW,76,18,36,54,10,62,12,6,0,2,26,10,0,147,12.2,282,1390:05,18:17,6,6,50.0,41,76,42,52,,radulal01
69,Wayne Simmonds,28,PHI,RW,82,31,23,54,-18,122,13,16,2,4,14,9,0,224,13.8,397,1555:43,18:58,8,9,47.1,60,162,38,39,ASG,simmowa01
70,Mark Stone,24,OTT,RW,71,22,32,54,12,25,16,6,0,5,24,8,0,134,16.4,229,1317:52,18:34,10,15,40.0,53,43,96,47,Selke-6,stonema01
71,Vincent Trocheck,23,FLA,C,82,23,31,54,-13,43,21,2,0,2,20,10,1,230,10.0,423,1707:53,20:50,835,829,50.2,51,164,63,69,ASGSelke-48,trochvi01
72,Mikael Backlund,27,CGY,C,81,22,31,53,9,36,15,7,0,7,19,9,3,197,11.2,338,1426:05,17:36,711,768,48.1,41,55,57,49,Selke-4,backlmi01
73,Patrice Bergeron,31,BOS,C,79,21,32,53,12,24,13,8,0,7,20,9,3,302,7.0,480,1534:25,19:25,1086,722,60.1,47,54,65,23,ASnhl-8Byng-34Selke-1,bergepa01
74,Jonathan Drouin,21,TBL,LW,73,21,32,53,-13,16,12,9,0,6,15,17,0,183,11.5,323,1292:35,17:42,96,124,43.6,16,50,45,65,,drouijo01
75,Taylor Hall,25,NJD,LW,72,20,33,53,-9,32,13,7,0,4,25,8,0,238,8.4,392,1391:50,19:20,8,10,44.4,31,59,43,44,ASG,hallta02
76,Duncan Keith,33,CHI,D,80,6,47,53,22,16,4,2,0,2,34,13,0,183,3.3,384,2049:20,25:37,0,0,,107,24,32,73,ASGASnhl-4Byng-11Norris-4,keithdu01
77,Chris Kreider,25,NYR,LW,75,28,25,53,6,58,22,6,0,4,18,7,0,186,15.1,318,1275:22,17:00,5,4,55.6,30,132,17,33,Selke-40,kreidch01
78,Nathan MacKinnon,21,COL,C,82,16,37,53,-14,16,12,2,2,4,25,12,0,251,6.4,435,1635:24,19:57,768,752,50.5,30,56,47,45,ASG,mackina01
79,Kyle Palmieri,25,NJD,RW,80,26,27,53,2,46,17,8,1,3,16,11,0,192,13.5,372,1387:55,17:21,12,17,41.4,36,124,29,34,,palmiky01
80,Corey Perry,31,ANA,RW,82,19,34,53,2,76,14,5,0,3,19,15,0,215,8.8,385,1452:42,17:43,7,13,35.0,35,81,32,38,,perryco01
81,Brandon Saad,24,CBJ,LW,82,24,29,53,23,8,23,1,0,4,27,2,0,210,11.4,370,1396:26,17:02,4,5,44.4,26,24,43,29,Byng-7Selke-27,saadbr01
82,Conor Sheary,24,PIT,LW,61,23,30,53,24,22,21,2,0,6,27,3,0,154,14.9,244,972:12,15:56,0,0,,23,29,26,25,,shearco01
83,Aleksander Barkov,21,FLA,C,61,21,31,52,13,10,18,3,0,5,20,11,0,142,14.8,226,1183:30,19:24,476,547,46.5,30,39,49,30,Byng-13Selke-17,barkoal01
84,Dustin Byfuglien,31,WPG,D,80,13,39,52,10,117,12,1,0,1,24,13,2,241,5.4,452,2195:34,27:27,0,0,,124,183,65,85,ASnhl-13Norris-12,byfugdu01
85,Logan Couture,27,SJS,C,73,25,27,52,11,12,14,11,0,3,22,4,1,174,14.4,330,1285:14,17:36,297,453,39.6,65,57,38,76,Byng-24Selke-48,coutulo01
86,Bo Horvat,21,VAN,C,81,20,32,52,-7,27,15,3,2,1,25,7,0,158,12.7,286,1460:36,18:02,756,742,50.5,41,65,37,27,ASG,horvabo01
87,Anže Kopitar,29,LAK,C,76,12,40,52,-10,28,7,5,0,0,25,14,1,150,8.0,290,1578:14,20:46,892,801,52.7,59,78,29,37,Byng-26Selke-15,kopitan01
88,Anders Lee,26,NYI,LW,81,34,18,52,9,56,25,9,0,6,13,5,0,191,17.8,288,1262:39,15:35,7,11,38.9,34,172,22,26,,leean01
89,Ondřej Palát,25,TBL,LW,75,17,35,52,8,39,12,5,0,3,25,10,0,162,10.5,277,1434:00,19:07,9,25,26.5,66,141,60,46,,palaton01
90,Jordan Eberle,26,EDM,RW,82,20,31,51,3,16,16,4,0,0,21,10,0,208,9.6,379,1374:57,16:46,10,10,50.0,37,26,38,44,Byng-60,eberljo01
91,Nick Foligno,29,CBJ,LW,79,26,25,51,-4,55,15,11,0,5,15,10,0,185,14.1,280,1455:36,18:26,41,48,46.1,50,157,44,35,Clancy-1Messier-1,foligni01
92,Torey Krug,25,BOS,D,81,8,43,51,-10,37,2,6,0,1,24,19,0,208,3.8,462,1749:39,21:36,0,1,0.0,82,59,22,60,ASnhl-15Norris-15,krugto01
93,Jonathan Marchessault,26,FLA,C,75,30,21,51,-21,38,22,8,0,6,11,10,0,193,15.5,315,1268:19,16:55,122,148,45.2,17,105,64,46,,audymjo01
94,Rickard Rakell,23,ANA,C,71,33,18,51,10,12,28,5,0,10,11,7,0,177,18.6,329,1234:25,17:23,62,85,42.2,32,81,23,37,Byng-20,rakelri01
95,Justin Schultz,26,PIT,D,78,12,39,51,27,34,9,3,0,1,22,17,0,154,7.8,293,1594:59,20:27,0,0,,116,67,22,37,ASnhl-11Norris-10,schulju01
96,Alexander Steen,32,STL,LW,76,16,35,51,-2,53,13,3,0,2,22,13,0,117,13.7,228,1467:14,19:18,101,146,40.9,69,33,27,18,Selke-40,steenal01
97,Patrick Eaves,32,2TM,RW,79,32,19,51,-2,24,19,13,0,2,14,5,0,209,15.3,360,1296:16,16:25,2,2,50.0,43,89,30,19,,eavespa01
97,Patrick Eaves,32,DAL,RW,59,21,16,37,-10,16,10,11,0,1,11,5,0,154,13.6,269,982:16,16:39,2,2,50.0,32,60,21,13,,eavespa01
97,Patrick Eaves,32,ANA,RW,20,11,3,14,8,8,9,2,0,1,3,0,0,55,20.0,91,314:00,15:42,0,0,,11,29,9,6,,eavespa01
98,Sam Gagner,27,CBJ,C,81,18,32,50,10,22,10,8,0,1,22,10,0,178,10.1,305,1110:54,13:43,202,223,47.5,16,22,17,27,,gagnesa01
99,Dougie Hamilton,23,CGY,D,81,13,37,50,12,64,11,2,0,5,24,12,1,222,5.9,423,1594:25,19:41,0,0,,94,68,17,52,ASnhl-12Norris-9,hamildo01
100,Milan Lucic,28,EDM,LW,82,23,27,50,-3,50,11,12,0,3,14,13,0,175,13.1,310,1407:15,17:10,4,3,57.1,20,202,26,49,,lucicmi01
101,Henrik Sedin,36,VAN,C,82,15,35,50,-27,28,14,1,0,4,21,14,0,99,15.2,160,1561:20,19:02,611,635,49.0,11,15,29,52,Byng-36,sedinhe01
102,Jason Spezza,33,DAL,C,68,15,35,50,-18,29,12,2,1,4,18,17,0,149,10.1,285,1099:37,16:10,354,324,52.2,31,13,32,49,,spezzja01
103,Joe Thornton,37,SJS,C,79,7,43,50,7,51,6,1,0,0,25,18,0,81,8.6,145,1426:47,18:04,374,362,50.8,31,52,63,74,Selke-21,thornjo01
104,Sebastian Aho,19,CAR,RW,82,24,25,49,-1,26,17,6,1,4,13,11,1,214,11.2,362,1376:31,16:47,17,18,48.6,14,51,40,57,Calder-8,ahose01
105,Kevin Hayes,24,NYR,RW,76,17,32,49,10,18,15,1,1,4,20,6,6,143,11.9,246,1258:28,16:34,442,526,45.7,30,40,54,66,,hayeske01
106,Roman Josi,26,NSH,D,72,12,37,49,7,18,5,7,0,1,25,11,1,217,5.5,409,1805:23,25:04,0,0,,119,54,16,41,ASnhl-10Byng-23Norris-11,josiro01
107,John Klingberg,24,DAL,D,80,13,36,49,2,34,9,4,0,3,23,13,0,124,10.5,313,1868:28,23:21,1,0,100.0,117,42,40,99,,klingjo01
108,Jakob Silfverberg,26,ANA,RW,79,23,26,49,10,20,17,5,1,5,22,4,0,227,10.1,383,1460:16,18:29,1,6,14.3,46,47,46,38,Selke-40,silfvja01
109,Gustav Nyquist,27,DET,RW,76,12,36,48,0,18,10,2,0,2,29,7,0,165,7.3,292,1325:02,17:26,4,1,80.0,20,54,32,35,,nyquigu01
110,Alex Pietrangelo,27,STL,D,80,14,34,48,3,24,8,6,0,4,21,13,0,181,7.7,335,2022:33,25:17,0,1,0.0,158,38,53,27,ASnhl-17Byng-42Norris-16,pietral01
111,Matthew Tkachuk,19,CGY,LW,76,13,35,48,14,105,10,3,0,2,25,10,0,142,9.2,232,1114:14,14:40,8,15,34.8,22,65,40,27,Calder-7,tkachma01
112,Justin Williams,35,WSH,RW,80,24,24,48,14,50,19,5,0,4,19,5,0,167,14.4,290,1238:08,15:29,64,53,54.7,41,28,37,44,,williju01
113,Thomas Vanek,33,2TM,LW,68,17,31,48,-5,22,12,5,0,2,23,8,0,133,12.8,216,979:29,14:24,6,9,40.0,5,29,21,34,,vanekth01
113,Thomas Vanek,33,DET,LW,48,15,23,38,2,16,10,5,0,2,17,6,0,99,15.2,162,701:36,14:37,6,9,40.0,2,23,18,27,,vanekth01
113,Thomas Vanek,33,FLA,LW,20,2,8,10,-7,6,2,0,0,0,6,2,0,34,5.9,54,277:53,13:54,0,0,,3,6,3,7,,vanekth01
114,Bryan Little,29,WPG,C,59,21,26,47,-7,18,15,6,0,3,20,6,0,119,17.6,189,1035:52,17:33,610,487,55.6,23,35,31,19,,littlbr01
115,Jason Pominville,34,MIN,RW,78,13,34,47,2,4,13,0,0,2,27,7,0,176,7.4,306,1109:39,14:14,39,39,50.0,39,44,22,13,Byng-8,pominja01
116,Sam Reinhart,21,BUF,C,79,17,30,47,-11,8,8,9,0,3,22,8,0,178,9.6,280,1360:09,17:13,86,124,41.0,40,21,25,27,Byng-35,reinhsa01
117,Zach Werenski,19,CBJ,D,78,11,36,47,17,14,7,4,0,1,19,17,0,188,5.9,390,1631:04,20:55,0,0,,90,41,27,40,ASnhl-19AR-1Byng-60Calder-3Norris-18,werenza01
118,Jason Zucker,25,MIN,LW,79,22,25,47,34,30,21,1,0,3,25,0,0,172,12.8,292,1207:35,15:17,1,4,20.0,42,73,44,23,Selke-32,zuckeja01
119,Jaromír Jágr,44,FLA,RW,82,16,30,46,2,56,8,8,0,2,25,5,0,181,8.8,295,1393:59,17:00,1,1,50.0,4,21,40,44,Byng-49,jagrja01
120,Nick Leddy,25,NYI,D,81,11,35,46,-3,12,8,3,0,1,23,12,0,137,8.0,288,1840:10,22:43,0,0,,109,77,26,48,Byng-36,leddyni01
121,Patrick Marleau,37,SJS,LW,82,27,19,46,4,28,20,7,0,6,10,9,0,190,14.2,326,1406:56,17:09,115,99,53.7,32,82,46,51,Byng-45,marlepa01
122,David Perron,28,STL,LW,82,18,28,46,-2,54,14,3,1,3,18,10,0,151,11.9,260,1418:26,17:18,32,34,48.5,28,87,48,21,,perroda01
123,Tomáš Tatar,26,DET,LW,82,25,21,46,-8,26,20,5,0,5,18,3,0,166,15.1,321,1416:44,17:17,8,5,61.5,24,92,34,38,,tatarto01
124,Artem Anisimov,28,CHI,C,64,22,23,45,9,30,18,4,0,7,19,4,0,105,21.0,191,1142:09,17:51,416,506,45.1,27,18,35,16,,anisiar01
125,Marián Hossa,38,CHI,RW,73,26,19,45,7,8,20,5,1,7,13,6,0,167,15.6,303,1230:36,16:51,5,9,35.7,36,32,47,29,Byng-4Selke-14,hossama01
126,Tyler Johnson,26,TBL,C,66,19,26,45,-5,28,13,6,0,3,15,11,0,130,14.6,250,1242:14,18:49,583,539,52.0,30,46,26,32,,johnsty01
127,Elias Lindholm,22,CAR,C,72,11,34,45,-2,16,8,2,1,0,21,9,4,151,7.3,272,1309:03,18:11,353,282,55.6,43,99,57,37,,lindhel01
128,Brock Nelson,25,NYI,LW,81,20,25,45,-6,36,19,1,0,4,19,5,1,173,11.6,305,1267:30,15:39,346,445,43.7,48,50,43,43,,nelsobr01
129,Kyle Okposo,28,BUF,RW,65,19,26,45,-7,24,12,7,0,2,10,16,0,156,12.2,284,1233:03,18:58,54,45,54.5,25,53,26,36,ASG,okposky01
130,Mathieu Perreault,29,WPG,C,65,13,32,45,-11,30,10,3,0,3,20,12,0,134,9.7,218,1058:45,16:17,97,92,51.3,26,97,33,20,,perrema01
131,Victor Rask,23,CAR,C,82,16,29,45,-10,16,12,4,0,3,22,6,1,186,8.6,310,1418:08,17:18,457,461,49.8,33,43,41,46,,raskvi01
132,Rasmus Ristolainen,22,BUF,D,79,6,39,45,-9,58,5,1,0,2,14,24,1,186,3.2,359,2090:58,26:28,0,0,,161,195,25,59,,ristora01
133,Jordan Staal,28,CAR,C,75,16,29,45,-1,38,11,4,1,3,25,4,0,164,9.8,273,1399:37,18:40,688,477,59.1,29,139,55,42,Selke-9,staaljo01
134,Travis Zajac,31,NJD,C,80,14,31,45,-8,33,7,6,1,1,24,6,1,126,11.1,195,1578:02,19:44,880,733,54.6,26,81,44,25,Selke-48,zajactr01
135,Drew Doughty,27,LAK,D,82,12,32,44,8,46,7,5,0,1,17,14,1,181,6.6,365,2225:50,27:09,1,0,100.0,109,129,24,86,ASGASnhl-7Norris-7,doughdr01
136,Michael Frolík,28,CGY,RW,82,17,27,44,13,58,12,3,2,1,21,5,1,202,8.4,352,1400:44,17:05,13,16,44.8,48,60,45,38,,frolimi01
137,Alex Galchenyuk,22,MTL,C,61,17,27,44,-5,24,11,6,0,6,18,9,0,104,16.3,198,971:43,15:56,274,368,42.7,32,36,17,34,,galchal01
138,Patric Hörnqvist,30,PIT,RW,70,21,23,44,16,28,11,10,0,6,16,7,0,223,9.4,326,1116:35,15:57,3,8,27.3,62,227,30,11,,hornqpa01
139,Richard Pánik,25,CHI,RW,82,22,22,44,14,58,18,4,0,5,17,5,0,155,14.2,270,1208:10,14:44,2,5,28.6,45,147,30,23,,panikri01
140,Tanner Pearson,24,LAK,LW,80,24,20,44,5,13,20,3,1,5,14,5,1,187,12.8,364,1305:36,16:19,10,14,41.7,31,124,25,20,,pearsta01
141,Daniel Sedin,36,VAN,LW,82,15,29,44,-16,32,9,6,0,3,21,8,0,216,6.9,345,1507:36,18:23,3,3,50.0,18,20,26,30,Byng-60,sedinda01
142,Paul Byron,27,MTL,LW,81,22,21,43,21,29,21,0,1,6,17,4,0,96,22.9,158,1220:28,15:04,10,5,66.7,34,119,40,22,Selke-40,byronpa01
