,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
637,Brad Richardson,35,NSH,C,17,1,3,4,0,4,1,0,0,1,3,0,0,18,5.6,27,208:29,12:16,76,72,51.4,9,14,4,1,,richabr02
638,Antoine Roussel,31,VAN,LW,35,1,3,4,4,37,1,0,0,0,2,0,1,28,3.6,49,402:42,11:30,2,2,50.0,18,63,9,14,,roussan01
639,Rasmus Sandin,20,TOR,D,9,0,4,4,6,0,0,0,0,0,4,0,0,9,0.0,14,131:57,14:40,0,0,,7,11,2,2,,sandira01
640,Luke Schenn,31,TBL,D,38,2,2,4,2,51,2,0,0,0,2,0,0,43,4.7,91,408:46,10:45,0,0,,17,99,6,10,,schenlu01
641,Andrew Shaw,29,CHI,C,14,2,2,4,-5,6,0,2,0,0,0,2,0,25,8.0,39,211:33,15:07,30,26,53.6,4,20,3,3,,shawan01
642,Givani Smith,22,DET,RW,16,1,3,4,-5,21,1,0,0,1,3,0,0,20,5.0,27,169:25,10:35,0,0,,4,28,1,5,,smithgi01
643,Logan Stanley,22,WPG,D,37,1,3,4,13,26,1,0,0,0,3,0,0,63,1.6,131,489:14,13:13,0,0,,31,49,7,21,,stanllo01
644,Michael Stone,30,CGY,D,21,2,2,4,-1,6,2,0,0,0,2,0,0,41,4.9,78,337:40,16:05,0,0,,27,24,5,14,,stonemi01
645,Andrei Vasilevskiy,26,TBL,G,42,0,4,4,0,0,0,0,0,0,1,3,0,0,,0,2523:37,60:05,0,0,,0,0,0,17,ASnhl-1Hart-7Vezina-2,vasilan02
646,Radim Zohorna,24,PIT,F,8,2,2,4,4,4,2,0,0,1,1,1,0,8,25.0,11,72:14,9:02,5,3,62.5,0,7,3,0,,zohorra01
647,Haydn Fleury,24,2TM,D,47,3,1,4,-12,8,3,0,0,0,1,0,0,62,4.8,126,723:41,15:24,0,0,,55,63,7,27,,fleurha01
647,Haydn Fleury,24,CAR,D,35,1,0,1,-6,6,1,0,0,0,0,0,0,48,2.1,90,475:51,13:36,0,0,,40,46,4,16,,fleurha01
647,Haydn Fleury,24,ANA,D,12,2,1,3,-6,2,2,0,0,0,1,0,0,14,14.3,36,247:50,20:39,0,0,,15,17,3,11,,fleurha01
648,Erik Gudbranson,29,2TM,D,45,1,3,4,-12,59,1,0,0,1,3,0,0,58,1.7,121,805:53,17:55,0,0,,64,111,6,33,,gudbrer01
648,Erik Gudbranson,29,OTT,D,36,1,2,3,-13,47,1,0,0,1,2,0,0,53,1.9,105,650:35,18:04,0,0,,51,92,5,26,,gudbrer01
648,Erik Gudbranson,29,NSH,D,9,0,1,1,1,12,0,0,0,0,1,0,0,5,0.0,16,155:18,17:15,0,0,,13,19,1,7,,gudbrer01
649,Jani Hakanpää,28,2TM,D,57,2,2,4,4,35,2,0,0,1,1,0,1,54,3.7,122,1027:12,18:01,0,0,,83,215,3,36,,hakanja01
649,Jani Hakanpää,28,ANA,D,42,0,1,1,0,31,0,0,0,0,1,0,0,41,0.0,95,781:57,18:37,0,0,,65,168,2,29,,hakanja01
649,Jani Hakanpää,28,CAR,D,15,2,1,3,4,4,2,0,0,1,0,0,1,13,15.4,27,245:15,16:21,0,0,,18,47,1,7,,hakanja01
650,Dmitry Kulikov,30,2TM,D,48,0,4,4,-3,28,0,0,0,0,4,0,0,51,0.0,110,920:03,19:10,0,0,,49,93,8,31,,kulikdm01
650,Dmitry Kulikov,30,NJD,D,38,0,2,2,-4,26,0,0,0,0,2,0,0,43,0.0,84,742:40,19:33,0,0,,39,72,7,19,,kulikdm01
650,Dmitry Kulikov,30,EDM,D,10,0,2,2,1,2,0,0,0,0,2,0,0,8,0.0,26,177:23,17:44,0,0,,10,21,1,12,,kulikdm01
651,Alex Barré-Boulet,23,TBL,F,15,3,0,3,0,0,1,2,0,0,0,0,0,26,11.5,47,228:47,15:15,1,3,25.0,5,8,4,4,,barreal01
652,Kieffer Bellows,22,NYI,LW,14,3,0,3,0,4,3,0,0,1,0,0,0,19,15.8,36,154:17,11:01,2,2,50.0,5,36,2,2,,belloki01
653,Alex Biega,32,DET,D,13,0,3,3,-1,4,0,0,0,0,3,0,0,4,0.0,18,138:36,10:40,0,0,,11,22,0,4,,biegaal01
654,Clark Bishop,24,OTT,C,13,0,3,3,2,4,0,0,0,0,3,0,0,16,0.0,25,123:08,9:28,36,35,50.7,8,23,3,6,,bishocl01
655,Matt Calvert,31,COL,LW,18,0,3,3,-2,6,0,0,0,0,3,0,0,26,0.0,45,248:35,13:49,0,1,0.0,8,12,6,0,,calvema01
656,Alexandre Carrier,24,NSH,D,19,1,2,3,3,8,1,0,0,0,2,0,0,31,3.2,68,380:54,20:03,0,0,,31,22,10,9,,carrial01
657,Dennis Cholowski,22,DET,D,16,1,2,3,-1,4,1,0,0,0,2,0,0,10,10.0,22,254:21,15:54,0,0,,18,5,3,6,,cholode01
658,Zac Dalpe,31,CBJ,RW,12,2,1,3,-2,0,2,0,0,0,1,0,0,22,9.1,31,127:29,10:37,18,22,45.0,8,11,5,2,,dalpeza01
659,Steven Fogarty,27,BUF,C,9,1,2,3,2,8,1,0,0,0,2,0,0,5,20.0,8,105:34,11:44,7,5,58.3,10,4,5,0,,fogarst01
660,Callan Foote,22,TBL,D,35,1,2,3,9,29,1,0,0,0,2,0,0,40,2.5,78,451:07,12:53,0,0,,29,39,1,5,,footeca01
661,Mark Friedman,25,2TM,D,9,2,1,3,1,9,2,0,0,0,1,0,0,9,22.2,12,99:25,11:03,0,1,0.0,7,14,0,2,,friedma01
661,Mark Friedman,25,PHI,D,4,0,0,0,-2,4,0,0,0,0,0,0,0,3,0.0,4,44:04,11:01,0,1,0.0,2,5,0,1,,friedma01
661,Mark Friedman,25,PIT,D,5,2,1,3,3,5,2,0,0,0,1,0,0,6,33.3,8,55:21,11:04,0,0,,5,9,0,1,,friedma01
662,Nathan Gerbe,33,CBJ,C,9,1,2,3,0,2,1,0,0,0,1,0,1,9,11.1,14,100:02,11:07,7,6,53.8,2,8,2,1,,gerbena01
663,Jordan Gross,25,ARI,D,7,0,3,3,-3,2,0,0,0,0,3,0,0,10,0.0,23,92:19,13:11,0,0,,8,6,0,4,,grossjo01
664,Gaetan Haas,29,EDM,F,34,2,1,3,-6,10,2,0,0,1,1,0,0,24,8.3,50,385:53,11:21,139,167,45.4,29,31,9,10,,haasga01
665,Mike Hardman,21,CHI,RW,8,1,2,3,0,0,1,0,0,0,2,0,0,5,20.0,10,87:54,10:59,1,1,50.0,6,38,2,1,,hardmmi01
666,Scott Harrington,27,CBJ,D,12,1,2,3,-3,6,1,0,0,0,1,0,1,8,12.5,16,196:07,16:21,0,0,,20,9,0,1,,harrisc01
667,Barrett Hayton,20,ARI,C,14,2,1,3,-1,0,2,0,0,0,1,0,0,10,20.0,20,160:51,11:29,40,40,50.0,3,15,4,4,,haytoba01
668,Olli Juolevi,22,VAN,D,23,2,1,3,-1,0,2,0,0,0,1,0,0,24,8.3,57,303:49,13:13,0,0,,30,23,2,9,,juoleol01
669,Gustav Lindström,22,DET,D,13,0,3,3,1,0,0,0,0,0,3,0,0,8,0.0,20,209:32,16:07,0,0,,17,14,0,8,,lindsgu01
670,Connor Mackey,24,CGY,D,6,1,2,3,3,20,1,0,0,0,2,0,0,4,25.0,11,84:58,14:10,0,0,,0,8,0,4,,mackeco01
671,Jake McCabe,27,BUF,D,13,1,2,3,2,9,1,0,0,0,2,0,0,15,6.7,29,249:22,19:11,0,0,,15,22,6,4,,mccabja01
672,Max McCormick,28,CAR,LW,12,2,1,3,3,9,2,0,0,0,1,0,0,5,40.0,7,93:50,7:49,1,1,50.0,2,16,1,0,,mccorma01
673,Niko Mikkola,24,STL,D,30,1,2,3,-11,11,1,0,0,0,2,0,0,22,4.5,47,435:32,14:31,0,0,,36,49,3,18,,mikkoni01
674,Alex Newhook,20,COL,C,6,0,3,3,5,2,0,0,0,0,3,0,0,8,0.0,21,82:04,13:41,16,21,43.2,1,3,2,0,,newhoal01
675,Liam O'Brien,26,COL,C,12,0,3,3,1,40,0,0,0,0,3,0,0,6,0.0,11,78:50,6:34,0,0,,2,28,0,1,,obrieli01
676,Lane Pederson,23,ARI,F,15,1,2,3,-2,2,1,0,0,0,1,1,0,15,6.7,26,166:09,11:05,39,39,50.0,2,39,3,2,,pederla01
677,Andrew Peeke,22,CBJ,D,11,0,3,3,-4,4,0,0,0,0,3,0,0,5,0.0,13,188:41,17:09,0,0,,15,35,5,6,,peekean01
678,Jack Rathbone,21,VAN,D,8,1,2,3,1,0,1,0,0,0,1,1,0,17,5.9,31,124:03,15:30,0,0,,8,9,2,6,,rathbja01
679,Dan Renouf,26,COL,D,18,0,3,3,-1,16,0,0,0,0,3,0,0,12,0.0,18,182:57,10:10,0,0,,3,20,1,3,,renouda01
680,Kiefer Sherwood,25,COL,RW,16,0,3,3,2,0,0,0,0,0,3,0,0,18,0.0,40,140:45,8:48,1,1,50.0,6,40,3,2,,sherwki01
681,Gemel Smith,26,TBL,C,5,0,3,3,3,11,0,0,0,0,3,0,0,0,,1,50:13,10:03,17,23,42.5,1,6,1,1,,smithge02
682,Jack Studnicka,21,BOS,C,20,1,2,3,-3,0,1,0,0,0,2,0,0,28,3.6,51,255:00,12:45,46,55,45.5,10,7,7,3,,studnja01
683,Matt Tennyson,30,NJD,D,21,1,2,3,0,2,1,0,0,0,2,0,0,14,7.1,29,304:36,14:30,0,0,,25,32,1,8,,tennyma01
684,Trevor van Riemsdyk,29,WSH,D,20,1,2,3,-1,2,1,0,0,0,1,1,0,23,4.3,49,341:32,17:05,0,0,,27,13,2,7,,vanritr01
685,Lucas Wallmark,25,2TM,C,20,0,3,3,-4,6,0,0,0,0,0,2,1,11,0.0,20,227:42,11:23,67,95,41.4,6,25,5,5,,wallmlu01
685,Lucas Wallmark,25,CHI,C,16,0,3,3,-2,6,0,0,0,0,0,2,1,10,0.0,19,185:37,11:36,56,87,39.2,5,20,4,4,,wallmlu01
685,Lucas Wallmark,25,FLA,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,1,42:05,10:31,11,8,57.9,1,5,1,1,,wallmlu01
686,Christian Wolanin,25,2TM,D,18,0,3,3,-6,8,0,0,0,0,3,0,0,16,0.0,32,238:51,13:16,0,0,,7,3,1,13,,wolanch01
686,Christian Wolanin,25,OTT,D,15,0,3,3,-7,6,0,0,0,0,3,0,0,14,0.0,27,195:05,13:00,0,0,,3,3,0,13,,wolanch01
686,Christian Wolanin,25,LAK,D,3,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,5,43:46,14:35,0,0,,4,0,1,0,,wolanch01
687,Michael Amadio,24,2TM,C,25,0,3,3,-3,4,0,0,0,0,2,1,0,24,0.0,41,313:45,12:33,94,94,50.0,16,8,3,8,,amadimi01
687,Michael Amadio,24,LAK,C,20,0,2,2,-5,2,0,0,0,0,1,1,0,19,0.0,33,248:48,12:26,75,72,51.0,15,2,2,8,,amadimi01
687,Michael Amadio,24,OTT,C,5,0,1,1,2,2,0,0,0,0,1,0,0,5,0.0,8,64:57,12:59,19,22,46.3,1,6,1,0,,amadimi01
688,Greg Pateryn,30,3TM,D,13,0,3,3,0,6,0,0,0,0,3,0,0,13,0.0,29,183:48,14:08,0,0,,17,17,3,5,,patergr01
688,Greg Pateryn,30,MIN,D,3,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,5,37:47,12:36,0,0,,1,3,0,0,,patergr01
688,Greg Pateryn,30,COL,D,8,0,0,0,-2,4,0,0,0,0,0,0,0,9,0.0,19,114:53,14:22,0,0,,15,8,2,4,,patergr01
688,Greg Pateryn,30,SJS,D,2,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,5,31:08,15:34,0,0,,1,6,1,1,,patergr01
689,Sebastian Aho,24,NYI,D,3,1,1,2,-1,2,1,0,0,0,1,0,0,4,25.0,8,40:03,13:21,0,0,,2,1,0,3,,ahose02
690,Kevin Bahl,20,NJD,D,7,0,2,2,0,0,0,0,0,0,2,0,0,5,0.0,10,118:25,16:55,0,0,,6,18,2,4,,bahlke01
691,Andreas Borgman,25,TBL,D,7,0,2,2,-2,4,0,0,0,0,2,0,0,7,0.0,23,83:43,11:58,0,0,,3,10,2,3,,borgman01
692,Mathias Bromé,26,DET,F,26,1,1,2,-9,8,1,0,0,1,1,0,0,22,4.5,38,354:51,13:39,1,2,33.3,7,19,12,10,,bromema01
693,Bowen Byram,19,COL,D,19,0,2,2,1,23,0,0,0,0,2,0,0,21,0.0,43,332:43,17:31,0,0,,13,33,1,5,,byrambo01
694,Connor Carrick,26,NJD,D,11,1,1,2,-2,5,1,0,0,0,1,0,0,8,12.5,21,205:22,18:40,0,0,,24,11,1,8,,carrico01
695,Sasha Chmelevski,21,SJS,C,5,0,2,2,-2,2,0,0,0,0,2,0,0,8,0.0,10,48:46,9:45,4,8,33.3,1,7,2,0,,chmelal01
696,Braydon Coburn,35,2TM,D,19,0,2,2,-3,14,0,0,0,0,1,0,1,18,0.0,38,304:51,16:03,0,0,,20,27,4,14,,coburbr01
696,Braydon Coburn,35,OTT,D,16,0,2,2,-3,10,0,0,0,0,1,0,1,15,0.0,31,262:35,16:25,0,0,,14,25,4,13,,coburbr01
696,Braydon Coburn,35,NYI,D,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,7,42:16,14:05,0,0,,6,2,0,1,,coburbr01
697,Chris Driedger,26,FLA,G,23,0,2,2,0,0,0,0,0,0,1,1,0,0,,0,1361:36,59:12,0,0,,0,0,1,20,,driedch01
698,MacKenzie Entwistle,21,CHI,RW,5,1,1,2,1,2,1,0,0,0,1,0,0,6,16.7,8,49:05,9:49,6,21,22.2,2,10,1,0,,entwima01
699,Nolan Foote,20,NJD,LW,6,1,1,2,-1,0,1,0,0,0,1,0,0,5,20.0,6,58:07,9:41,0,2,0.0,1,5,1,2,,footeno01
700,Rhett Gardner,24,DAL,C,28,1,1,2,-9,8,1,0,0,0,1,0,0,23,4.3,52,278:58,9:58,43,57,43.0,11,52,5,4,,gardnrh01
701,Philipp Grubauer,29,COL,G,40,0,2,2,0,0,0,0,0,0,1,1,0,0,,0,2366:52,59:10,0,0,,0,0,0,7,ASnhl-3Byng-46Vezina-3,grubaph01
702,Carl Gunnarsson,34,STL,D,12,0,2,2,-2,6,0,0,0,0,2,0,0,6,0.0,17,173:07,14:26,0,0,,16,9,1,2,,gunnaca01
703,Jansen Harkins,23,WPG,C,26,1,1,2,-2,4,1,0,0,0,1,0,0,16,6.3,29,218:19,8:24,11,7,61.1,3,11,1,2,,harkija01
704,Aleksi Heponiemi,22,FLA,C,9,1,1,2,1,2,1,0,0,1,1,0,0,15,6.7,21,110:08,12:14,0,0,,1,0,6,3,,heponal01
705,Thomas Hickey,31,NYI,D,5,0,2,2,5,0,0,0,0,0,2,0,0,2,0.0,6,81:18,16:16,0,0,,3,10,0,1,,hicketh01
706,Taro Hirose,24,DET,LW,6,0,2,2,2,0,0,0,0,0,2,0,0,10,0.0,11,86:13,14:22,1,1,50.0,2,1,1,3,,hirosta01
707,Nick Holden,33,VEG,D,17,0,2,2,3,2,0,0,0,0,2,0,0,23,0.0,46,269:20,15:51,0,0,,20,28,3,0,,holdeni01
708,Matt Irwin,33,BUF,D,24,0,2,2,-10,19,0,0,0,0,2,0,0,27,0.0,46,390:01,16:15,0,0,,43,56,7,7,,irwinma01
709,Jan Jeník,20,ARI,RW,2,2,0,2,3,0,2,0,0,0,0,0,0,3,66.7,4,24:10,12:05,12,11,52.2,0,2,1,0,,jenikja01
710,Joel Kellman,26,SJS,F,7,1,1,2,-1,6,1,0,0,0,1,0,0,13,7.7,19,74:44,10:41,27,28,49.1,2,5,3,0,,kellmjo01
711,Anton Khudobin,34,DAL,G,32,0,2,2,0,2,0,0,0,0,1,1,0,0,,0,1794:37,56:05,0,0,,0,0,0,10,,khudoan01
712,Mikko Koivu,37,CBJ,C,7,1,1,2,-2,2,1,0,0,0,1,0,0,3,33.3,7,87:14,12:28,32,38,45.7,1,10,3,2,,koivumi01
713,Mikko Koskinen,32,EDM,G,26,0,2,2,0,0,0,0,0,0,0,2,0,0,,0,1437:39,55:18,0,0,,0,0,1,16,,koskimi01
714,Karson Kuhlman,25,BOS,C,20,2,0,2,-6,0,2,0,0,0,0,0,0,31,6.5,47,212:58,10:39,2,2,50.0,4,27,2,1,,kuhlmka01
715,Joel L'Esperance,25,DAL,RW,12,2,0,2,-2,2,2,0,0,1,0,0,0,8,25.0,20,113:03,9:25,7,10,41.2,0,16,1,3,,lespejo01
716,William Lagesson,24,EDM,D,19,0,2,2,0,9,0,0,0,0,2,0,0,11,0.0,29,268:51,14:09,0,0,,14,15,3,7,,lageswi01
717,Kevin Lankinen,25,CHI,G,37,0,2,2,0,2,0,0,0,0,1,1,0,0,,0,2174:49,58:47,0,0,,0,0,0,28,Byng-52Calder-13,lankike01
718,Ilya Lyubushkin,26,ARI,D,42,1,1,2,-13,10,1,0,0,0,1,0,0,36,2.8,72,659:03,15:42,0,0,,72,103,8,13,,lyubuil01
719,Mackenzie MacEachern,26,STL,LW,21,1,1,2,3,8,0,0,1,0,1,0,0,25,4.0,28,203:44,9:42,1,1,50.0,2,35,1,1,,maceama01
720,Zack MacEwen,24,VAN,C,34,1,1,2,-2,44,1,0,0,0,1,0,0,31,3.2,56,293:47,8:38,4,4,50.0,9,65,6,6,,macewza01
721,Jayson Megna,30,COL,C,7,0,2,2,2,0,0,0,0,0,2,0,0,12,0.0,15,71:46,10:15,12,10,54.5,3,14,1,0,,megnaja01
722,John Moore,30,BOS,D,5,0,2,2,-3,2,0,0,0,0,1,1,0,8,0.0,15,104:56,20:59,0,0,,6,9,0,4,,moorejo01
723,Rem Pitlick,23,NSH,C,10,0,2,2,3,4,0,0,0,0,2,0,0,11,0.0,13,113:02,11:18,15,21,41.7,1,8,0,3,,pitlire01
724,Nate Prosser,34,PHI,D,6,1,1,2,-7,0,1,0,0,0,1,0,0,5,20.0,9,78:19,13:03,0,0,,10,3,0,4,,prossna01
725,Tuukka Rask,33,BOS,G,24,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,1396:27,58:11,0,0,,0,0,0,5,,rasktu01
726,Kyle Rau,28,MIN,C,14,0,2,2,-1,9,0,0,0,0,2,0,0,15,0.0,25,133:49,9:34,0,0,,15,23,4,1,,rauky01
727,Chad Ruhwedel,30,PIT,D,17,0,2,2,3,14,0,0,0,0,2,0,0,16,0.0,43,249:47,14:42,0,0,,13,32,1,2,,ruhwech01
728,Patrick Russell,28,EDM,RW,8,0,2,2,0,0,0,0,0,0,2,0,0,12,0.0,16,85:07,10:38,1,3,25.0,0,13,2,3,,russepa01
729,Mattias Samuelsson,20,BUF,D,12,0,2,2,-8,4,0,0,0,0,2,0,0,10,0.0,20,216:22,18:02,0,0,,10,20,2,4,,samuema02
730,Tyler Seguin,29,DAL,C,3,2,0,2,0,0,2,0,0,0,0,0,0,8,25.0,12,51:13,17:04,19,16,54.3,1,8,1,1,,seguity01
731,Michael Sgarbossa,28,WSH,C,5,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,5,48:59,9:48,10,19,34.5,2,1,4,0,,sgarbmi01
732,Dylan Sikura,25,VEG,C,6,2,0,2,0,0,2,0,0,0,0,0,0,8,25.0,11,61:28,10:15,0,0,,1,3,5,0,,sikurdy01
733,Mike Smith,38,EDM,G,32,0,2,2,0,6,0,0,0,0,0,2,0,1,0.0,2,1846:33,57:42,0,0,,0,0,7,41,ASnhl-7Vezina-7,smithmi01
734,Victor Söderström,19,ARI,D,4,1,1,2,4,0,1,0,0,0,1,0,0,6,16.7,14,65:14,16:19,0,0,,0,4,1,1,,sodervi01
735,Marián Studenič,22,NJD,RW,8,1,1,2,-2,4,1,0,0,0,1,0,0,7,14.3,9,86:15,10:47,0,0,,4,13,0,1,,studema01
736,Urho Vaakanainen,22,BOS,D,9,0,2,2,-3,2,0,0,0,0,2,0,0,15,0.0,26,170:15,18:55,0,0,,19,3,1,4,,vaakaur01
737,Jake Walman,24,STL,D,24,1,1,2,-7,8,1,0,0,0,1,0,0,47,2.1,85,347:06,14:28,0,0,,20,26,6,16,,walmaja01
738,Andrew Agozzino,30,ANA,LW,3,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,5,36:32,12:11,16,16,50.0,7,6,0,1,,agozzan01
739,Frederik Andersen,31,TOR,G,24,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,1420:07,59:10,0,0,,0,0,0,13,,anderfr01
740,Morgan Barron,22,NYR,C,5,1,0,1,-1,2,1,0,0,0,0,0,0,3,33.3,7,68:27,13:41,9,9,50.0,2,12,0,2,,barromo01
741,Gavin Bayreuther,26,CBJ,D,9,1,0,1,-1,7,1,0,0,0,0,0,0,16,6.3,32,138:29,15:23,0,0,,4,12,5,0,,bayrega01
742,Nathan Beaulieu,28,WPG,D,25,0,1,1,-5,20,0,0,0,0,1,0,0,26,0.0,52,418:11,16:44,0,0,,30,39,3,23,,beaulna01
743,Alex Belzile,29,MTL,F,2,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,6,21:17,10:39,4,1,80.0,0,2,1,1,,belzial01
744,Jordan Binnington,27,STL,G,42,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,2447:40,58:17,0,0,,0,0,1,17,,binnijo01
745,Joachim Blichfeld,22,SJS,W,5,1,0,1,-2,12,1,0,0,0,0,0,0,3,33.3,7,43:27,8:41,0,0,,2,2,0,1,,blichjo01
746,Anton Blidh,25,BOS,LW,10,1,0,1,-5,6,1,0,0,0,0,0,0,10,10.0,18,107:44,10:46,0,2,0.0,4,25,1,2,,blidhan01
747,Mark Borowiecki,31,NSH,D,22,0,1,1,-2,38,0,0,0,0,1,0,0,18,0.0,47,300:53,13:41,0,0,,37,54,1,5,,borowma01
748,Madison Bowey,25,CHI,D,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,1,22:17,11:09,0,0,,1,4,1,2,,boweyma01
749,Jonny Brodzinski,27,NYR,C,5,1,0,1,0,4,1,0,0,0,0,0,0,7,14.3,8,56:40,11:20,0,1,0.0,2,4,0,1,,brodzjo01
750,Josh Brown,27,OTT,D,26,0,1,1,-1,30,0,0,0,0,1,0,0,8,0.0,31,367:40,14:08,0,0,,40,71,3,15,,brownjo01
751,Connor Bunnaman,22,PHI,F,18,0,1,1,-6,2,0,0,0,0,1,0,0,15,0.0,27,208:08,11:34,56,48,53.8,6,31,5,0,,bunnaco01
752,Kyle Burroughs,25,COL,D,5,0,1,1,1,5,0,0,0,0,1,0,0,3,0.0,8,50:24,10:05,0,0,,2,10,1,1,,burroky01
753,Quinton Byfield,18,LAK,C,6,0,1,1,1,2,0,0,0,0,1,0,0,9,0.0,12,90:03,15:01,26,40,39.4,3,3,3,2,,byfiequ01
754,Nicholas Caamano,22,DAL,RW,24,0,1,1,-7,17,0,0,0,0,1,0,0,33,0.0,49,224:14,9:21,1,0,100.0,8,41,5,7,,caamani01
755,Lucas Carlsson,23,CHI,D,12,0,1,1,1,2,0,0,0,0,1,0,0,10,0.0,18,156:44,13:04,0,0,,3,6,2,3,,carlslu01
756,Daniel Carr,29,WSH,LW,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,8,61:22,10:14,0,0,,4,10,1,2,,carrda01
757,Jackson Cates,23,PHI,C,4,0,1,1,-3,0,0,0,0,0,1,0,0,7,0.0,8,42:24,10:36,13,11,54.2,0,0,1,1,,catesja01
758,Jalen Chatfield,24,VAN,D,18,0,1,1,-11,12,0,0,0,0,1,0,0,14,0.0,26,241:52,13:26,0,0,,10,11,4,3,,chatfja01
759,Ivan Chekhovich,22,SJS,LW,4,0,1,1,-3,0,0,0,0,0,1,0,0,5,0.0,6,41:57,10:29,0,0,,2,0,1,2,,chekhiv01
760,Kevin Connauton,30,FLA,D,7,0,1,1,4,7,0,0,0,0,1,0,0,5,0.0,12,99:30,14:13,0,0,,3,12,0,5,,connake01
761,Joseph Cramarossa,28,MIN,C,4,0,1,1,-1,15,0,0,0,0,1,0,0,3,0.0,3,43:04,10:46,0,0,,1,10,0,2,,cramajo01
762,Jeremy Davies,24,NSH,D,16,0,1,1,3,8,0,0,0,0,1,0,0,19,0.0,35,240:39,15:02,0,0,,7,11,3,9,,davieje01
763,Jacob de La Rose,25,STL,LW,13,0,1,1,-2,7,0,0,0,0,1,0,0,13,0.0,18,132:35,10:12,34,39,46.6,8,22,6,1,,delarja01
764,Tony DeAngelo,25,NYR,D,6,0,1,1,-6,4,0,0,0,0,0,1,0,13,0.0,22,110:51,18:29,0,0,,6,3,1,3,,deangan01
765,Casey DeSmith,29,PIT,G,20,0,1,1,0,0,0,0,0,0,0,0,1,0,,0,1132:19,56:37,0,0,,0,0,0,2,,desmica01
766,Brian Elliott,35,PHI,G,30,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1607:43,53:35,0,0,,0,0,0,6,,elliobr01
767,Loui Eriksson,35,VAN,LW,7,0,1,1,-3,2,0,0,0,0,1,0,0,5,0.0,7,67:03,9:35,1,0,100.0,1,1,6,0,,erikslo01
768,Marc-André Fleury,36,VEG,G,36,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,2146:36,59:38,0,0,,0,0,2,10,ASnhl-2Byng-21Jennings-1Vezina-1,fleurma01
769,Byron Froese,29,CGY,C,6,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,3,49:45,8:18,12,19,38.7,4,8,2,0,,froesby01
770,Glenn Gawdin,23,CGY,C,7,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,5,48:28,6:55,19,16,54.3,1,12,3,0,,gawdigl01
771,Alexandar Georgiev,24,NYR,G,19,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,973:56,51:16,0,0,,0,0,0,8,,georgal01
772,Fredrik Händemark,27,SJS,C,8,1,0,1,-3,2,1,0,0,0,0,0,0,5,20.0,8,75:38,9:27,29,30,49.2,1,14,2,3,,handefr01
773,Braden Holtby,31,VAN,G,21,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1260:29,60:01,0,0,,0,0,0,9,,holtbbr01
774,Brad Hunt,32,MIN,D,12,1,0,1,-8,4,1,0,0,1,0,0,0,14,7.1,31,148:00,12:20,0,0,,6,4,2,1,,huntbr01
775,Christián Jaroš,24,SJS,D,7,0,1,1,-4,2,0,0,0,0,1,0,0,3,0.0,10,78:18,11:11,0,0,,8,9,3,2,,jarosch01
776,Erik Johnson,32,COL,D,4,0,1,1,2,2,0,0,0,0,1,0,0,5,0.0,8,53:42,13:26,0,0,,5,7,1,3,,johnser01
777,Jack Johnson,34,NYR,D,13,1,0,1,-5,8,1,0,0,0,0,0,0,13,7.7,24,220:34,16:58,0,0,,15,30,2,6,,johnsja02
778,Luke Johnson,26,MIN,C,14,1,0,1,-5,5,1,0,0,0,0,0,0,11,9.1,20,141:27,10:06,44,43,50.6,4,29,2,0,,johnslu01
779,Ross Johnston,26,NYI,LW,12,0,1,1,-3,35,0,0,0,0,1,0,0,5,0.0,6,104:51,8:44,1,3,25.0,6,43,1,1,,johnsro02
780,Dakota Joshua,24,STL,C,12,1,0,1,-3,7,1,0,0,0,0,0,0,9,11.1,11,107:37,8:58,37,27,57.8,2,23,3,1,,joshuda01
