,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
559,Nicolas Beaudin,21,CHI,D,19,2,4,6,1,2,2,0,0,0,3,1,0,7,28.6,22,261:48,13:47,0,0,,21,14,4,19,,beaudni01
560,Tobias Björnfot,19,LAK,D,33,1,5,6,-3,14,1,0,0,0,5,0,0,30,3.3,55,555:49,16:51,0,0,,34,28,5,13,,bjornto01
561,Justin Braun,33,PHI,D,53,1,5,6,0,18,1,0,0,0,5,0,0,59,1.7,119,982:04,18:32,0,0,,73,78,7,31,,braunju01
562,Sam Carrick,28,ANA,C,13,2,4,6,4,28,2,0,0,0,3,1,0,23,8.7,35,167:59,12:55,33,30,52.4,3,29,2,6,,carrisa01
563,Kale Clague,22,LAK,D,18,0,6,6,-6,4,0,0,0,0,6,0,0,24,0.0,46,309:42,17:12,0,0,,13,9,1,7,,claguka01
564,Dylan Coghlan,22,VEG,D,29,3,3,6,-3,2,3,0,0,0,3,0,0,31,9.7,75,391:09,13:29,0,1,0.0,16,29,5,4,,coghldy01
565,Travis Dermott,24,TOR,D,51,2,4,6,-1,19,2,0,0,0,4,0,0,36,5.6,81,674:26,13:13,0,0,,35,44,4,27,,dermotr01
566,Alex Formenton,21,OTT,LW,20,4,2,6,6,6,3,0,1,0,2,0,0,27,14.8,39,239:53,12:00,1,4,20.0,8,23,11,6,,formeal01
567,Noah Gregor,22,SJS,C,30,5,1,6,-16,6,5,0,0,0,1,0,0,60,8.3,98,351:44,11:43,20,49,29.0,19,47,11,6,,gregono01
568,Sam Lafferty,25,PIT,C,34,0,6,6,-6,25,0,0,0,0,6,0,0,33,0.0,57,332:23,9:47,55,50,52.4,11,89,7,6,,laffesa01
