,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Patrick Kane,27,CHI,RW,82,46,60,106,17,30,29,17,0,9,40,20,0,287,16.0,461,1673:39,20:25,11,40,21.6,21,37,34,37,ASGASnhl-1Byng-18Hart-1Ross-1Pearson-1,kanepa01
2,Jamie Benn,26,DAL,LW,82,41,48,89,7,64,22,17,2,5,32,13,3,247,16.6,431,1641:48,20:01,226,252,47.3,55,156,65,80,ASGASnhl-1Hart-3,bennja01
3,Sidney Crosby,28,PIT,C,80,36,49,85,19,42,26,10,0,9,35,14,0,248,14.5,446,1637:33,20:28,986,921,51.7,35,90,40,47,ASnhl-1Byng-35Hart-2Selke-7,crosbsi01
4,Erik Karlsson,25,OTT,D,82,16,66,82,-2,50,15,1,0,3,41,25,0,248,6.5,586,2375:19,28:58,0,1,0.0,175,84,61,96,ASGASnhl-2Hart-9Norris-2,karlser01
5,Joe Thornton,36,SJS,C,82,19,63,82,25,54,11,8,0,6,42,21,0,121,15.7,211,1505:43,18:22,399,353,53.1,30,48,69,98,ASnhl-2ASnhl-9Byng-20Hart-5Selke-5,thornjo01
6,Johnny Gaudreau,22,CGY,LW,79,30,48,78,4,20,24,6,0,6,33,15,0,217,13.8,371,1574:31,19:56,2,3,40.0,10,26,41,90,ASGASnhl-3Byng-4,gaudrjo01
7,Joe Pavelski,31,SJS,C,82,38,40,78,25,30,26,12,0,11,24,16,0,224,17.0,394,1624:54,19:49,516,422,55.0,67,147,46,82,ASGASnhl-3ASnhl-6ASnhl-8Byng-9Hart-14Selke-11,paveljo01
8,Blake Wheeler,29,WPG,RW,82,26,52,78,8,49,21,3,2,5,36,14,2,256,10.2,459,1622:34,19:47,10,18,35.7,56,92,38,46,ASnhl-5Byng-70Selke-25,wheelbl01
9,Evgeny Kuznetsov,23,WSH,C,82,20,57,77,27,32,15,5,0,4,44,13,0,193,10.4,318,1428:03,17:25,543,594,47.8,29,73,61,54,ASGASnhl-4Byng-13Hart-19Selke-27,kuzneev01
10,Artemi Panarin,24,CHI,LW,80,30,47,77,8,32,22,8,0,7,31,16,0,187,16.0,333,1481:38,18:31,0,0,,14,46,29,35,ASnhl-4AR-1Byng-38Calder-1,panarar01
11,Brent Burns,30,SJS,D,82,27,48,75,-5,53,19,7,1,4,24,23,1,353,7.6,750,2120:51,25:52,1,0,100.0,145,101,53,102,ASGASnhl-3Hart-20Norris-3,burnsbr01
12,Anže Kopitar,28,LAK,C,81,25,49,74,34,16,19,5,1,8,34,13,2,177,14.1,311,1690:12,20:52,950,826,53.5,65,78,43,45,ASnhl-3Byng-1Hart-8Selke-1,kopitan01
13,Vladimir Tarasenko,24,STL,RW,80,40,34,74,7,37,28,12,0,7,22,12,0,292,13.7,551,1491:01,18:38,0,1,0.0,28,32,38,34,ASGASnhl-2ASnhl-7Hart-12,tarasvl01
14,Tyler Seguin,24,DAL,C,72,33,40,73,2,16,26,7,0,6,23,17,0,278,11.9,513,1399:51,19:27,470,376,55.6,27,80,21,46,ASGASnhl-5Byng-7,seguity01
15,Alex Ovechkin,30,WSH,LW,79,50,21,71,21,53,31,19,0,8,16,5,0,398,12.6,779,1604:22,20:19,0,0,,34,225,24,50,ASnhl-2ASnhl-7Hart-6Richard-1,ovechal01
16,Nicklas Bäckström,28,WSH,C,75,20,50,70,17,36,17,3,0,4,23,27,0,129,15.5,222,1438:38,19:11,659,698,48.6,50,51,42,27,ASGASnhl-8Byng-70Selke-12,backsni02
17,John Tavares,25,NYI,C,78,33,37,70,6,38,26,7,0,5,25,12,0,250,13.2,457,1559:34,20:00,741,629,54.1,29,51,69,82,ASGASnhl-10Byng-32Hart-13,tavarjo01
