,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
18,Patrice Bergeron,30,BOS,C,80,32,36,68,12,49,19,12,1,6,21,13,2,282,11.3,455,1586:47,19:50,1130,848,57.1,56,77,67,34,ASGASnhl-9Byng-23Selke-2,bergepa01
19,Claude Giroux,28,PHI,C,78,22,45,67,-8,53,15,6,1,5,23,21,1,241,9.1,418,1602:37,20:33,1083,798,57.6,36,83,41,45,ASGHart-16Selke-28,giroucl01
20,Kris Letang,28,PIT,D,71,16,51,67,9,66,11,5,0,2,26,22,3,218,7.3,417,1913:06,26:57,0,0,,122,135,47,69,ASGASnhl-4Hart-23Norris-4,letankr01
21,Jaromír Jágr,43,FLA,RW,79,27,39,66,23,48,22,5,0,4,33,6,0,143,18.9,254,1348:56,17:05,0,1,0.0,16,31,33,44,ASGASnhl-4Byng-10Hart-7Selke-35,jagrja01
22,Nikita Kucherov,22,TBL,RW,77,30,36,66,9,30,21,9,0,4,20,16,0,209,14.4,402,1402:21,18:13,0,1,0.0,28,61,34,58,ASnhl-8Byng-53,kucheni01
23,Taylor Hall,24,EDM,LW,82,26,39,65,-4,54,22,4,0,6,31,8,0,286,9.1,474,1574:45,19:12,14,25,35.9,50,82,64,73,ASGASnhl-8,hallta02
24,Filip Forsberg,21,NSH,LW,82,33,31,64,1,47,24,8,1,3,16,15,0,247,13.4,490,1562:19,19:03,2,7,22.2,41,114,72,52,ASnhl-6Byng-56Selke-10,forsbfi01
25,Kyle Okposo,27,NYI,RW,79,22,42,64,-4,51,15,7,0,4,26,16,0,202,10.9,376,1438:15,18:12,23,40,36.5,39,90,42,54,,okposky01
26,Max Pacioretty,27,MTL,LW,82,30,34,64,-10,34,21,8,1,6,25,9,0,303,9.9,539,1519:14,18:32,6,7,46.2,37,102,35,33,Byng-38Selke-22,pacioma01
27,Steven Stamkos,25,TBL,C,77,36,28,64,3,38,21,14,1,8,17,9,2,216,16.7,404,1521:06,19:45,463,464,49.9,35,109,45,45,ASGASnhl-12Byng-45,stamkst01
28,Loui Eriksson,30,BOS,RW,82,30,33,63,13,12,18,10,2,5,25,7,1,184,16.3,268,1597:30,19:29,12,9,57.1,34,22,48,27,ASnhl-11Byng-3Selke-35,erikslo01
29,Ryan Getzlaf,30,ANA,C,77,13,50,63,14,55,7,6,0,5,33,16,1,178,7.3,351,1501:57,19:30,602,617,49.4,61,108,48,75,ASnhl-11Hart-20Selke-20,getzlry01
30,David Krejčí,29,BOS,C,72,17,46,63,4,32,13,4,0,3,29,14,3,143,11.9,292,1461:40,20:18,560,557,50.1,57,43,36,49,,krejcda01
31,Sean Monahan,21,CGY,C,81,27,36,63,-6,18,20,7,0,5,23,13,0,197,13.7,336,1552:10,19:10,887,852,51.0,37,38,55,38,Byng-14,monahse01
32,Jason Spezza,32,DAL,C,75,33,30,63,4,22,24,9,0,7,15,15,0,202,16.3,391,1239:00,16:31,538,443,54.8,20,9,45,62,Byng-30,spezzja01
33,Jeff Carter,31,LAK,C,77,24,38,62,18,20,19,4,1,6,29,8,1,242,9.9,447,1415:54,18:23,598,630,48.7,39,89,26,41,Byng-37Selke-43,carteje01
34,Corey Perry,30,ANA,RW,82,34,28,62,2,68,22,12,0,6,16,12,0,215,15.8,384,1452:02,17:42,2,8,20.0,36,104,25,53,ASGASnhl-6,perryco01
35,Roman Josi,25,NSH,D,81,14,47,61,-3,43,7,6,1,3,28,18,1,198,7.1,398,2064:13,25:29,0,0,,185,59,21,43,ASGASnhl-5Norris-5,josiro01
36,Brad Marchand,27,BOS,LW,77,37,24,61,21,90,27,6,4,6,20,2,2,250,14.8,395,1432:13,18:36,21,35,37.5,35,65,43,69,ASnhl-5Selke-25,marchbr03
37,Mark Scheifele,22,WPG,C,71,29,32,61,16,48,22,7,0,3,28,4,0,194,14.9,320,1316:58,18:33,515,651,44.2,36,53,61,35,,scheima01
38,Daniel Sedin,35,VAN,LW,82,28,33,61,7,36,20,8,0,6,21,11,1,258,10.9,396,1503:22,18:20,5,14,26.3,19,20,24,31,ASGASnhl-8Byng-25,sedinda01
39,Mark Stone,23,OTT,RW,75,23,38,61,-4,38,17,5,1,1,26,10,2,151,15.2,272,1507:55,20:06,8,11,42.1,54,55,128,54,Selke-18,stonema01
40,Mats Zuccarello,28,NYR,RW,81,26,35,61,2,34,19,7,0,4,24,11,0,166,15.7,321,1496:36,18:29,5,6,45.5,69,88,59,43,Byng-56Selke-29,zuccama01
41,Jussi Jokinen,32,FLA,LW,81,18,42,60,25,42,12,5,1,1,34,7,1,153,11.8,248,1481:36,18:17,135,127,51.5,50,43,31,47,Selke-40,jokinju01
42,Ryan O'Reilly,24,BUF,C,71,21,39,60,-16,8,12,8,1,2,25,14,0,157,13.4,243,1543:11,21:44,1024,788,56.5,43,17,47,28,ASGByng-5Selke-33,oreilry01
43,Wayne Simmonds,27,PHI,RW,81,32,28,60,-7,147,19,13,0,5,20,8,0,229,14.0,393,1395:58,17:14,5,2,71.4,44,192,25,31,ASnhl-10,simmowa01
44,Ryan Johansen,23,2TM,C,80,14,46,60,6,61,10,4,0,2,28,18,0,185,7.6,300,1405:01,17:34,652,594,52.3,30,115,38,42,,johanry01
44,Ryan Johansen,23,CBJ,C,38,6,20,26,-4,25,5,1,0,0,10,10,0,88,6.8,156,659:10,17:21,322,294,52.3,12,58,20,22,,johanry01
44,Ryan Johansen,23,NSH,C,42,8,26,34,10,36,5,3,0,2,18,8,0,97,8.2,144,745:51,17:46,330,300,52.4,18,57,18,20,,johanry01
45,Aleksander Barkov,20,FLA,C,66,28,31,59,18,8,18,9,1,8,23,7,1,171,16.4,255,1282:23,19:26,569,587,49.2,39,43,45,29,Byng-2Selke-6,barkoal01
46,Matt Duchene,25,COL,C,76,30,29,59,-8,24,22,8,0,6,22,7,0,200,15.0,325,1412:53,18:35,428,311,57.9,37,41,43,31,ASG,duchema01
47,Mike Hoffman,26,OTT,LW,78,29,30,59,1,18,20,9,0,3,26,4,0,242,12.0,465,1368:22,17:33,8,10,44.4,29,22,44,45,Byng-70,hoffmmi02
48,Jonathan Huberdeau,22,FLA,LW,76,20,39,59,17,43,15,4,1,2,30,9,0,174,11.5,269,1378:55,18:09,7,11,38.9,36,53,32,46,,huberjo01
49,Phil Kessel,28,PIT,RW,82,26,33,59,9,18,22,4,0,5,20,13,0,274,9.5,479,1507:16,18:23,2,3,40.0,13,9,26,55,,kesseph01
50,Brayden Schenn,24,PHI,C,80,26,33,59,3,33,15,11,0,5,22,11,0,178,14.6,323,1351:31,16:54,52,64,44.8,30,187,30,35,,schenbr01
51,Derick Brassard,28,NYR,C,80,27,31,58,12,30,19,8,0,5,17,14,0,182,14.8,307,1430:49,17:53,676,670,50.2,23,103,47,56,,brassde01
52,John Klingberg,23,DAL,D,76,10,48,58,22,30,8,2,0,4,28,20,0,171,5.8,365,1724:18,22:41,0,0,,68,44,36,78,ASnhl-6Byng-55Norris-6,klingjo01
53,Evgeni Malkin,29,PIT,C,57,27,31,58,1,65,16,11,0,6,15,16,0,162,16.7,285,1104:01,19:22,317,438,42.0,19,27,54,52,ASG,malkiev01
54,James Neal,28,NSH,RW,82,31,27,58,27,65,27,4,0,3,17,10,0,268,11.6,474,1563:51,19:04,8,19,29.6,31,113,49,25,ASGASnhl-11Selke-23,nealja01
55,Jonathan Toews,27,CHI,C,80,28,30,58,16,62,18,6,4,8,24,3,3,179,15.6,278,1539:50,19:15,921,652,58.6,38,81,57,28,ASnhl-7Byng-27Selke-4,toewsjo01
56,Tyler Toffoli,23,LAK,C,82,31,27,58,35,20,21,9,1,4,25,2,0,213,14.6,413,1419:39,17:19,0,4,0.0,19,70,32,38,,toffoty01
57,Kyle Palmieri,24,NJD,RW,82,30,27,57,3,39,19,11,0,4,15,12,0,222,13.5,391,1460:00,17:48,10,17,37.0,51,129,43,35,,palmiky01
58,Jack Eichel,19,BUF,C,81,24,32,56,-16,22,16,8,0,5,19,13,0,238,10.1,434,1548:51,19:07,402,578,41.0,25,43,43,49,AR-1Calder-4,eicheja01
59,Alex Galchenyuk,21,MTL,C,82,30,26,56,-8,20,21,9,0,4,19,7,0,201,14.9,360,1333:16,16:16,359,390,47.9,36,62,31,36,,galchal01
60,Mark Giordano,32,CGY,D,82,21,35,56,-5,54,11,9,1,2,23,10,2,212,9.9,473,2032:25,24:47,0,0,,193,65,45,68,ASGASnhl-13Byng-38Norris-13,giordma01
61,Mikko Koivu,32,MIN,C,82,17,39,56,6,40,6,10,1,2,28,10,1,141,12.1,277,1634:11,19:56,988,771,56.2,57,38,37,45,Selke-21,koivumi01
62,Bobby Ryan,28,OTT,RW,81,22,34,56,-9,28,16,6,0,2,24,10,0,183,12.0,341,1391:10,17:10,3,8,27.3,24,106,52,52,,ryanbo01
63,Oliver Ekman-Larsson,24,ARI,D,75,21,34,55,-6,96,9,12,0,8,19,15,0,228,9.2,509,1857:43,24:46,0,0,,67,154,40,38,ASnhl-9Norris-9,ekmanol01
64,Milan Lucic,27,LAK,LW,81,20,35,55,26,79,18,2,0,5,29,6,0,124,16.1,269,1396:12,17:14,7,13,35.0,22,244,22,48,,lucicmi01
65,Henrik Sedin,35,VAN,C,74,11,44,55,0,24,5,5,1,0,29,15,0,99,11.1,157,1360:02,18:23,620,727,46.0,19,9,23,50,Byng-26Clancy-1,sedinhe01
66,Patrick Sharp,34,DAL,LW,76,20,35,55,-3,27,13,7,0,6,18,17,0,226,8.8,406,1338:57,17:37,16,17,48.5,24,76,51,46,Byng-46,sharppa01
67,Jakub Voráček,26,PHI,RW,73,11,44,55,-5,38,10,1,0,2,22,22,0,213,5.2,387,1356:47,18:35,3,3,50.0,34,51,26,50,,voracja01
68,Tomáš Plekanec,33,MTL,C,82,14,40,54,4,36,13,1,0,1,28,12,0,189,7.4,323,1519:38,18:32,804,811,49.8,46,60,15,45,,plekato01
69,Cam Atkinson,26,CBJ,RW,81,27,26,53,-8,22,21,4,2,3,20,6,0,226,11.9,371,1441:39,17:48,2,2,50.0,40,47,43,18,,atkinca01
70,Dustin Byfuglien,30,WPG,D,81,19,34,53,4,119,15,3,1,6,19,14,1,247,7.7,498,2041:27,25:12,0,0,,105,222,73,92,ASGASnhl-12Norris-12,byfugdu01
71,Ryan Kesler,31,ANA,C,79,21,32,53,5,78,15,5,1,4,22,10,0,164,12.8,347,1543:00,19:32,980,695,58.5,92,168,39,34,Hart-20Selke-3,keslery01
72,Gabriel Landeskog,23,COL,LW,75,20,33,53,-5,69,15,4,1,2,21,10,2,169,11.8,249,1419:26,18:56,31,25,55.4,66,141,37,30,,landega01
73,Zach Parise,31,MIN,LW,70,25,28,53,-3,36,18,7,0,7,17,11,0,234,10.7,385,1350:26,19:18,0,4,0.0,42,71,39,18,Selke-35,parisza01
74,Brandon Saad,23,CBJ,LW,78,31,22,53,1,14,25,6,0,7,19,2,1,233,13.3,396,1343:02,17:13,19,15,55.9,25,43,33,31,ASGByng-17,saadbr01
75,Derek Stepan,25,NYR,C,72,22,31,53,5,20,14,5,3,5,22,9,0,192,11.5,306,1278:23,17:45,515,589,46.6,39,38,62,30,Byng-70,stepade01
76,Vincent Trocheck,22,FLA,C,76,25,28,53,15,44,20,4,1,4,19,9,0,174,14.4,299,1350:32,17:46,547,559,49.5,41,125,43,33,,trochvi01
77,Max Domi,20,ARI,LW,81,18,34,52,3,72,15,3,0,0,21,12,1,156,11.5,297,1326:19,16:22,20,35,36.4,25,34,28,41,Calder-6,domima01
78,Nathan MacKinnon,20,COL,C,72,21,31,52,-4,20,14,7,0,6,21,9,1,245,8.6,417,1358:21,18:52,507,540,48.4,53,46,28,39,,mackina01
79,Frans Nielsen,31,NYI,C,81,20,32,52,1,12,11,7,2,2,19,13,0,181,11.0,322,1435:19,17:43,586,583,50.1,92,35,30,30,Byng-11Selke-17,nielsfr01
80,Alexander Steen,31,STL,LW,67,17,35,52,3,48,14,2,1,2,16,19,0,172,9.9,292,1364:52,20:22,159,198,44.5,35,50,36,20,ASnhl-11Selke-15,steenal01
81,Justin Williams,34,WSH,RW,82,22,30,52,15,36,19,3,0,3,23,6,1,201,10.9,325,1365:32,16:39,57,52,52.3,43,32,37,48,,williju01
82,Drew Doughty,26,LAK,D,82,14,37,51,24,52,4,9,1,3,21,15,1,197,7.1,431,2297:28,28:01,0,0,,105,125,10,97,ASGASnhl-1Hart-11Norris-1,doughdr01
83,Leon Draisaitl,20,EDM,C,72,19,32,51,-2,20,14,5,0,2,28,4,0,133,14.3,214,1300:07,18:03,502,536,48.4,18,38,40,61,,draisle01
84,Patric Hörnqvist,29,PIT,RW,82,22,29,51,15,36,13,9,0,3,23,6,0,257,8.6,392,1381:36,16:51,5,3,62.5,54,160,28,8,,hornqpa01
85,T.J. Oshie,29,WSH,RW,80,26,25,51,16,34,15,11,0,5,19,6,0,185,14.1,320,1517:04,18:58,138,124,52.7,62,134,62,42,,oshietj01
86,Jeff Skinner,23,CAR,LW,82,28,23,51,-2,38,24,4,0,7,20,3,0,258,10.9,434,1335:31,16:17,20,27,42.6,17,21,77,43,,skinnje01
87,Carl Söderberg,30,COL,C,82,12,39,51,-7,32,8,3,1,0,27,11,1,163,7.4,267,1477:14,18:01,338,381,47.0,71,27,32,26,Selke-43,soderca01
88,P.K. Subban,26,MTL,D,68,6,45,51,4,75,4,2,0,0,23,22,0,176,3.4,378,1792:38,26:22,0,0,,80,102,23,106,ASGASnhl-18Norris-14,subbapk01
89,Ryan Suter,31,MIN,D,82,8,43,51,10,30,4,3,1,2,24,18,1,188,4.3,402,2344:37,28:36,0,0,,142,69,36,41,ASnhl-7Byng-36Norris-8,suterry01
90,Shea Weber,30,NSH,D,78,20,31,51,-7,27,6,14,0,1,18,12,1,189,10.6,380,1979:24,25:23,0,0,,160,169,19,39,ASGASnhl-10Byng-29Messier-1Norris-10,webersh01
91,Mika Zibanejad,22,OTT,C,81,21,30,51,-2,18,17,2,2,7,21,9,0,184,11.4,331,1438:31,17:46,659,647,50.5,43,111,39,52,,zibanmi01
92,Lee Stempniak,32,2TM,RW,82,19,32,51,4,38,15,3,1,4,23,9,0,146,13.0,257,1471:23,17:57,2,11,15.4,34,113,31,30,,stemple01
92,Lee Stempniak,32,NJD,RW,63,16,25,41,3,34,12,3,1,3,16,9,0,120,13.3,207,1180:04,18:44,2,8,20.0,28,85,25,22,,stemple01
92,Lee Stempniak,32,BOS,RW,19,3,7,10,1,4,3,0,0,1,7,0,0,26,11.5,50,291:19,15:20,0,3,0.0,6,28,6,8,,stemple01
93,Mikkel Bødker,26,2TM,LW,80,17,34,51,-33,12,14,3,0,5,18,16,0,166,10.2,309,1482:21,18:32,1,2,33.3,31,50,38,32,Byng-70,boedkmi01
93,Mikkel Bødker,26,ARI,LW,62,13,26,39,-28,10,10,3,0,4,11,15,0,144,9.0,260,1156:24,18:39,0,1,0.0,21,43,31,28,,boedkmi01
93,Mikkel Bødker,26,COL,LW,18,4,8,12,-5,2,4,0,0,1,7,1,0,22,18.2,49,325:57,18:07,1,1,50.0,10,7,7,4,,boedkmi01
94,Adam Henrique,25,NJD,C,80,30,20,50,10,23,21,7,2,8,14,5,1,149,20.1,238,1586:07,19:50,617,764,44.7,56,66,38,27,Byng-70Selke-19,henriad01
95,Mike Ribeiro,35,NSH,C,81,7,43,50,11,62,5,2,0,0,30,13,0,76,9.2,123,1413:25,17:27,288,472,37.9,20,61,22,50,,ribeimi01
96,Reilly Smith,24,FLA,RW,82,25,25,50,19,31,20,5,0,3,18,6,1,173,14.5,299,1526:06,18:37,0,2,0.0,39,85,51,31,,smithre01
97,Henrik Zetterberg,35,DET,C,82,13,37,50,-15,24,11,2,0,3,17,20,0,214,6.1,394,1591:39,19:25,539,536,50.1,26,54,29,46,Selke-43,zettehe01
98,Tyson Barrie,24,COL,D,78,13,36,49,-16,31,9,3,1,5,17,18,1,172,7.6,353,1809:34,23:12,0,0,,84,37,29,59,,barrity01
99,Pavel Datsyuk,37,DET,C,66,16,33,49,7,14,8,8,0,1,21,12,0,181,8.8,323,1297:14,19:39,599,517,53.7,33,70,48,26,Byng-6Selke-9,datsypa01
100,Scott Hartnell,33,CBJ,LW,79,23,26,49,-11,112,13,10,0,1,24,2,0,150,15.3,240,1231:05,15:35,0,3,0.0,41,131,20,32,,hartnsc01
101,Boone Jenner,22,CBJ,C,82,30,19,49,-15,77,20,9,1,3,14,5,0,225,13.3,344,1345:33,16:25,156,138,53.1,71,213,39,25,,jennebo01
102,Brent Seabrook,30,CHI,D,81,14,35,49,6,32,8,6,0,3,16,19,0,167,8.4,361,1848:38,22:49,0,0,,150,121,19,89,ASnhl-20Norris-20,seabrbr01
103,Ryan Spooner,24,BOS,C,80,13,36,49,-9,35,7,6,0,4,25,11,0,162,8.0,275,1211:17,15:08,304,407,42.8,19,53,25,35,,spoonry01
104,Paul Stastny,30,STL,C,64,10,39,49,3,26,8,2,0,2,27,12,0,103,9.7,179,1225:42,19:09,684,536,56.1,40,32,20,7,,stastpa01
105,Brandon Dubinsky,29,CBJ,C,75,17,31,48,-16,71,12,5,0,3,26,5,0,158,10.8,288,1407:14,18:46,780,704,52.6,40,235,45,31,,dubinbr01
106,Patrick Marleau,36,SJS,LW,82,25,23,48,-22,10,13,11,1,5,9,14,0,216,11.6,357,1560:20,19:02,267,258,50.9,36,64,46,71,Byng-8,marlepa01
107,Connor McDavid,19,EDM,C,45,16,32,48,-1,18,13,3,0,5,21,11,0,105,15.2,156,849:42,18:53,249,355,41.2,10,12,33,17,ASnhl-13AR-1Calder-3,mcdavco01
108,Victor Rask,22,CAR,C,80,21,27,48,-6,24,16,5,0,5,14,13,0,160,13.1,295,1358:39,16:59,479,456,51.2,34,32,42,31,,raskvi01
109,Jordan Staal,27,CAR,C,82,20,28,48,6,34,14,6,0,4,22,4,2,151,13.2,271,1500:39,18:18,806,589,57.8,31,165,55,50,Selke-13,staaljo01
110,Mikael Backlund,26,CGY,C,82,21,26,47,10,28,15,3,3,4,19,6,1,155,13.5,274,1347:11,16:26,539,604,47.2,51,68,57,44,,backlmi01
111,Shane Doan,39,ARI,RW,72,28,19,47,4,98,16,12,0,4,14,5,0,170,16.5,290,1266:51,17:36,74,69,51.7,15,115,33,27,,doansh01
112,Jordan Eberle,25,EDM,RW,69,25,22,47,-12,14,18,7,0,4,18,4,0,173,14.5,296,1232:04,17:51,5,3,62.5,23,28,30,41,Byng-46,eberljo01
113,Victor Hedman,25,TBL,D,78,10,37,47,21,46,9,1,0,0,26,10,1,180,5.6,407,1799:10,23:04,0,0,,132,62,48,62,ASnhl-8Norris-7,hedmavi01
114,Jarome Iginla,38,COL,RW,82,22,25,47,-22,41,9,13,0,3,19,6,0,182,12.1,342,1300:39,15:52,61,54,53.0,45,70,22,22,,iginlja01
115,Keith Yandle,29,NYR,D,82,5,42,47,-4,40,3,2,0,1,22,20,0,160,3.1,364,1636:53,19:58,0,0,,68,43,27,76,,yandlke01
116,Shayne Gostisbehere,22,PHI,D,64,17,29,46,8,24,9,8,0,5,15,14,0,152,11.2,341,1285:47,20:05,1,0,100.0,59,27,28,51,ASnhl-16AR-1Byng-70Calder-2Norris-17,gostish01
117,Tomáš Hertl,22,SJS,C,81,21,25,46,16,26,18,3,0,3,21,4,0,202,10.4,348,1293:49,15:58,256,201,56.0,60,90,35,41,,hertlto01
118,Marcus Johansson,25,WSH,LW,74,17,29,46,12,16,11,6,0,7,21,8,0,132,12.9,213,1231:20,16:38,128,150,46.0,24,38,35,39,,johanma03
119,Jiří Hudler,32,2TM,C,72,16,30,46,-1,27,13,3,0,1,23,7,0,109,14.7,180,1134:40,15:46,11,15,42.3,7,28,23,25,Byng-56,hudleji01
119,Jiří Hudler,32,CGY,C,53,10,25,35,-1,17,9,1,0,0,18,7,0,80,12.5,133,882:04,16:39,9,11,45.0,4,14,18,19,,hudleji01
119,Jiří Hudler,32,FLA,C,19,6,5,11,0,10,4,2,0,1,5,0,0,29,20.7,47,252:36,13:18,2,4,33.3,3,14,5,6,,hudleji01
120,Andrew Ladd,30,2TM,LW,78,25,21,46,-13,45,13,10,2,3,17,4,0,181,13.8,352,1475:19,18:55,8,5,61.5,42,155,29,34,,laddan01
120,Andrew Ladd,30,WPG,LW,59,17,17,34,-10,39,8,7,2,2,15,2,0,143,11.9,284,1147:53,19:27,7,3,70.0,27,126,26,29,,laddan01
120,Andrew Ladd,30,CHI,LW,19,8,4,12,-3,6,5,3,0,1,2,2,0,38,21.1,68,327:26,17:14,1,2,33.3,15,29,3,5,,laddan01
121,David Backes,31,STL,C,79,21,24,45,4,83,13,8,0,3,19,5,0,168,12.5,270,1519:11,19:14,620,572,52.0,63,239,39,24,Selke-14,backeda01
122,T.J. Brodie,25,CGY,D,70,6,39,45,4,18,4,2,0,1,30,7,2,79,7.6,197,1767:38,25:15,0,0,,104,15,47,91,ASnhl-21Byng-70,broditj01
123,Nazem Kadri,25,TOR,C,76,17,28,45,-15,73,13,4,0,2,18,10,0,260,6.5,485,1388:47,18:16,641,663,49.2,43,148,47,41,,kadrina01
124,Dylan Larkin,19,DET,C,80,23,22,45,11,34,19,4,0,5,21,1,0,221,10.4,390,1323:32,16:33,41,59,41.0,25,65,43,39,ASGCalder-5,larkidy01
125,Tomáš Tatar,25,DET,LW,81,21,24,45,4,24,14,7,0,3,16,8,0,165,12.7,285,1162:27,14:21,6,18,25.0,18,74,30,24,,tatarto01
126,Joe Colborne,26,CGY,C,73,19,25,44,-9,27,16,3,0,2,23,2,0,100,19.0,163,1107:05,15:10,85,70,54.8,28,122,27,32,,colbojo01
127,Anthony Duclair,20,ARI,LW,81,20,24,44,12,49,12,8,0,2,20,4,0,105,19.0,184,1164:08,14:22,0,1,0.0,27,27,26,18,Calder-10,duclaan01
128,Mikael Granlund,23,MIN,C,82,13,31,44,-12,20,10,2,1,3,22,9,0,160,8.1,272,1485:48,18:07,528,556,48.7,56,86,51,40,,granlmi01
129,Torey Krug,24,BOS,D,81,4,40,44,9,33,3,1,0,1,22,18,0,244,1.6,491,1750:43,21:37,2,0,100.0,94,61,20,57,,krugto01
130,Andrei Markov,37,MTL,D,82,5,39,44,-6,38,1,4,0,0,26,13,0,117,4.3,287,1954:32,23:50,0,0,,142,57,38,93,,markoan01
131,Kevin Shattenkirk,27,STL,D,72,14,30,44,-14,51,8,6,0,1,9,20,1,180,7.8,350,1614:24,22:25,0,0,,113,82,37,39,,shattke01
132,Dougie Hamilton,22,CGY,D,82,12,31,43,-14,46,7,5,0,3,20,11,0,190,6.3,381,1620:57,19:46,0,0,,106,78,15,63,,hamildo01
133,Duncan Keith,32,CHI,D,67,9,34,43,13,26,5,4,0,4,19,14,1,130,6.9,287,1690:46,25:14,0,1,0.0,116,16,22,46,ASnhl-11Norris-11,keithdu01
134,Chris Kreider,24,NYR,LW,79,21,22,43,10,58,16,5,0,3,19,3,0,158,13.3,280,1260:36,15:57,5,1,83.3,33,177,23,37,,kreidch01
135,J.T. Miller,22,NYR,C,82,22,21,43,10,46,20,2,0,5,19,2,0,135,16.3,253,1232:51,15:02,68,89,43.3,48,174,40,61,,millejt01
136,Nino Niederreiter,23,MIN,RW,82,20,23,43,9,36,18,2,0,1,20,3,0,159,12.6,269,1274:34,15:33,11,16,40.7,19,129,35,23,,niedeni01
137,Gustav Nyquist,26,DET,RW,82,17,26,43,-2,34,10,7,0,3,21,5,0,161,10.6,262,1243:58,15:10,0,2,0.0,19,58,28,26,,nyquigu01
