,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
37,Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,19,27,14,0,6,23,14,0,270,15.2,470,1710:13,20:51,24,40,37.5,35,101,67,47,ASGByng-64,debrial01
38,Evgeny Kuznetsov,29,WSH,C,79,24,54,78,7,44,13,8,3,4,33,19,2,208,11.5,345,1602:09,20:17,507,659,43.5,25,42,54,51,,kuzneev01
39,Chris Kreider,30,NYR,LW,81,52,25,77,19,24,23,26,3,11,16,9,0,258,20.2,412,1517:09,18:44,67,70,48.9,39,141,27,45,ASGASnhl-5,kreidch01
40,David Pastrňák,25,BOS,RW,72,40,37,77,13,20,25,15,0,9,26,11,0,312,12.8,560,1339:45,18:36,7,14,33.3,14,63,36,77,ASnhl-5,pastrda01
41,Robert Thomas,22,STL,C,72,20,57,77,17,16,15,3,2,6,45,11,1,115,17.4,191,1351:41,18:46,562,565,49.9,25,13,60,50,Byng-47,thomaro01
42,Pavel Buchnevich,26,STL,LW,73,30,46,76,29,34,20,8,2,3,33,11,2,199,15.1,304,1335:55,18:18,13,26,33.3,15,57,46,41,,buchnpa01
43,Timo Meier,25,SJS,RW,77,35,41,76,-3,54,23,12,0,8,35,6,0,326,10.7,573,1475:01,19:09,18,19,48.6,61,162,49,53,ASGASnhl-10Byng-57,meierti01
44,John Tavares,31,TOR,C,79,27,49,76,-8,32,17,10,0,3,33,16,0,237,11.4,429,1427:51,18:04,813,529,60.6,44,90,40,65,Byng-43,tavarjo01
45,Jordan Kyrou,23,STL,C,74,27,48,75,10,20,22,5,0,4,33,14,1,188,14.4,323,1226:36,16:35,6,9,40.0,23,6,36,32,ASG,kyroujo01
46,Adam Fox,23,NYR,D,78,11,63,74,18,26,10,0,1,2,29,33,1,158,7.0,275,1864:45,23:54,0,0,,128,30,78,58,ASGASnhl-5Norris-5,foxad01
47,Jesper Bratt,23,NJD,W,76,26,47,73,0,16,23,3,0,6,32,15,0,197,13.2,324,1324:41,17:26,0,3,0.0,30,26,29,46,,brattje01
48,Roope Hintz,25,DAL,LW,80,37,35,72,15,28,25,9,3,7,19,15,1,213,17.4,367,1442:53,18:02,357,317,53.0,53,82,24,49,Selke-21,hintzro01
49,John Carlson,32,WSH,D,78,17,54,71,13,20,10,7,0,2,33,18,3,195,8.7,388,1857:15,23:49,0,0,,112,73,42,55,ASnhl-9Byng-39Norris-10,carlsjo01
50,Mark Scheifele,28,WPG,C,67,29,41,70,-17,23,22,7,0,3,29,12,0,159,18.2,264,1415:58,21:08,430,418,50.7,47,36,49,60,,scheima01
51,Nikita Kucherov,28,TBL,RW,47,25,44,69,1,22,16,9,0,1,23,21,0,156,16.0,276,939:12,19:59,1,0,100.0,7,32,24,37,ASnhl-8Byng-51,kucheni01
52,Dylan Larkin,25,DET,C,71,31,38,69,-18,47,25,6,0,4,30,7,1,212,14.6,385,1395:40,19:39,630,574,52.3,28,76,38,42,ASG,larkidy01
53,Andrei Svechnikov,21,CAR,RW,78,30,39,69,19,79,21,9,0,5,26,13,0,249,12.0,467,1346:16,17:16,0,6,0.0,15,189,44,72,,svechan01
54,Quinn Hughes,22,VAN,D,76,8,60,68,10,28,8,0,0,1,27,31,2,150,5.3,342,1919:07,25:15,0,0,,56,19,41,42,ASnhl-11Norris-13,hughequ01
55,Kris Letang,34,PIT,D,78,10,58,68,20,49,8,2,0,3,38,20,0,214,4.7,403,2010:38,25:47,0,0,,122,171,59,79,ASnhl-7Norris-7,letankr01
56,Elias Pettersson,23,VAN,C,80,32,36,68,1,12,20,10,2,3,19,17,0,192,16.7,387,1487:36,18:36,238,302,44.1,43,49,56,39,Byng-14,petteel01
57,Morgan Rielly,27,TOR,D,82,10,58,68,16,40,8,2,0,3,34,21,3,221,4.5,384,1946:31,23:44,0,0,,87,92,40,76,ASnhl-12Norris-11,riellmo01
58,Tage Thompson,24,BUF,C,78,38,30,68,-17,37,26,10,2,4,24,6,0,253,15.0,457,1394:36,17:53,393,582,40.3,25,66,49,42,,thompta01
59,Anže Kopitar,34,LAK,C,81,19,48,67,-6,14,13,6,0,4,31,16,1,210,9.0,353,1682:19,20:46,858,651,56.9,71,72,48,30,Byng-16Selke-6Messier-1,kopitan01
60,Troy Terry,24,ANA,C,75,37,30,67,-11,26,29,8,0,7,23,7,0,192,19.3,327,1367:44,18:14,1,8,11.1,27,6,35,46,ASG,terrytr01
61,Brady Tkachuk,22,OTT,LW,79,30,37,67,-7,117,21,9,0,3,29,8,0,288,10.4,461,1485:07,18:48,218,217,50.1,25,270,41,68,,tkachbr01
62,Jonathan Marchessault,31,VEG,C,76,30,36,66,3,36,25,5,0,4,21,15,0,251,12.0,413,1334:50,17:34,43,57,43.0,17,61,38,46,,audymjo01
63,Patrice Bergeron,36,BOS,C,73,25,40,65,26,32,17,8,0,4,22,15,3,293,8.5,427,1326:25,18:10,991,609,61.9,45,78,37,21,ASGASnhl-7Byng-30Selke-1,bergepa01
64,Ryan Hartman,27,MIN,RW,82,34,31,65,31,95,33,1,0,7,24,7,0,239,14.2,421,1490:48,18:11,513,631,44.8,48,72,35,30,,hartmry01
65,Teuvo Teräväinen,27,CAR,F,77,22,43,65,22,24,11,9,2,2,20,22,1,202,10.9,326,1362:52,17:42,24,20,54.5,30,15,34,52,,teravte01
66,Claude Giroux,34,2TM,C,75,21,44,65,-5,26,16,5,0,0,26,18,0,205,10.2,339,1430:15,19:04,733,483,60.3,16,68,28,41,ASG,giroucl01
66,Claude Giroux,34,PHI,C,57,18,24,42,-12,20,15,3,0,0,15,9,0,154,11.7,249,1096:09,19:14,587,377,60.9,15,48,21,26,,giroucl01
66,Claude Giroux,34,FLA,C,18,3,20,23,7,6,1,2,0,0,11,9,0,51,5.9,90,334:06,18:34,146,106,57.9,1,20,7,15,,giroucl01
67,Mikael Granlund,29,NSH,C,80,11,53,64,-9,33,8,3,0,3,28,25,0,117,9.4,219,1633:10,20:25,569,637,47.2,45,92,57,51,,granlmi01
68,Tomáš Hertl,28,SJS,C,82,30,34,64,-9,30,24,6,0,6,23,10,1,205,14.6,364,1635:05,19:56,769,697,52.5,57,105,65,31,,hertlto01
69,Chandler Stephenson,27,VEG,C,79,21,43,64,5,26,14,6,1,3,34,8,1,125,16.8,195,1526:02,19:19,653,602,52.0,44,68,40,32,,stephch02
70,Michael Bunting,26,TOR,LW,79,23,40,63,27,80,21,2,0,2,37,3,0,175,13.1,296,1227:51,15:33,8,8,50.0,21,85,36,23,AR-1Calder-3,buntimi01
71,Ryan Johansen,29,NSH,C,79,26,37,63,-2,53,15,11,0,6,24,13,0,118,22.0,182,1308:32,16:34,691,622,52.6,35,72,39,45,,johanry01
72,Clayton Keller,23,ARI,C,67,28,35,63,3,28,22,5,1,2,28,6,1,177,15.8,274,1349:18,20:08,29,39,42.6,31,17,61,53,ASG,kellecl01
73,Jeff Skinner,29,BUF,LW,80,33,30,63,-14,42,28,5,0,4,24,6,0,262,12.6,406,1368:18,17:06,91,133,40.6,20,29,51,52,,skinnje01
74,Tyler Bertuzzi,26,DET,LW,68,30,32,62,-11,47,23,6,1,5,23,8,1,180,16.7,306,1350:44,19:52,6,17,26.1,41,65,42,57,,bertuty01
75,Jakub Voráček,32,CBJ,RW,79,6,56,62,-13,44,4,2,0,2,33,23,0,147,4.1,253,1379:17,17:28,5,28,15.2,28,27,44,51,,voracja01
76,André Burakovsky,26,COL,LW,80,22,39,61,12,18,18,4,0,5,32,7,0,149,14.8,313,1300:40,16:16,8,12,40.0,34,49,28,39,,burakan01
77,Taylor Hall,30,BOS,LW,81,20,41,61,11,42,13,7,0,3,33,8,0,217,9.2,322,1329:21,16:25,18,21,46.2,36,55,33,48,,hallta02
78,Nick Suzuki,22,MTL,C,82,21,40,61,-29,30,12,8,1,4,26,12,2,186,11.3,309,1681:50,20:31,699,711,49.6,62,89,50,71,ASG,suzukni01
79,Trevor Zegras,20,ANA,C,75,23,38,61,-21,50,14,9,0,5,30,8,0,181,12.7,333,1343:02,17:54,217,327,39.9,27,56,40,71,AR-1Calder-2,zegratr01
80,Ivan Barbashev,26,STL,C,81,26,34,60,4,40,21,4,1,2,28,5,1,111,23.4,188,1331:46,16:26,131,197,39.9,28,160,44,46,,barbaiv01
81,Pierre-Luc Dubois,23,WPG,LW,81,28,32,60,-6,106,13,15,0,6,28,4,0,233,12.0,393,1532:31,18:55,532,603,46.9,43,112,22,42,,duboipi01
82,Nico Hischier,23,NJD,C,70,21,39,60,-1,17,17,4,0,2,29,8,2,153,13.7,270,1354:05,19:21,730,672,52.1,48,50,45,31,,hischni01
83,Blake Wheeler,35,WPG,RW,65,17,43,60,-15,36,14,3,0,2,26,17,0,167,10.2,263,1270:01,19:32,4,17,19.0,37,62,32,36,,wheelbl01
84,Mathew Barzal,24,NYI,C,73,15,44,59,-15,18,14,1,0,1,25,19,0,161,9.3,252,1315:26,18:01,234,271,46.3,17,36,43,82,,barzama01
85,Alex Killorn,32,TBL,C,82,25,34,59,1,66,19,6,0,2,26,8,0,164,15.2,273,1532:44,18:42,2,10,16.7,26,88,42,30,,killoal01
86,Gabriel Landeskog,29,COL,LW,51,30,29,59,27,78,23,7,0,5,21,8,0,150,20.0,251,1036:12,20:19,241,198,54.9,34,94,17,29,,landega01
87,Brock Nelson,30,NYI,C,72,37,22,59,-5,33,26,11,0,5,19,3,0,171,21.6,279,1272:52,17:41,476,488,49.4,43,31,49,43,,nelsobr01
88,Nick Schmaltz,25,ARI,C,63,23,36,59,1,14,19,4,0,4,32,4,0,123,18.7,212,1149:33,18:15,114,125,47.7,28,15,52,42,Byng-57,schmani01
89,Anthony Duclair,26,FLA,LW,74,31,27,58,19,30,22,9,0,5,15,12,0,167,18.6,253,1109:45,15:00,1,1,50.0,16,38,37,55,,duclaan01
90,Ryan O'Reilly,30,STL,C,78,21,37,58,11,12,12,9,0,0,29,7,1,168,12.5,252,1488:18,19:05,900,685,56.8,38,20,50,26,Byng-11Selke-4,oreilry01
91,Brayden Point,25,TBL,C,66,28,30,58,-5,33,18,10,0,4,18,12,0,176,15.9,291,1284:29,19:28,366,351,51.0,27,75,33,24,,pointbr01
92,Bryan Rust,29,PIT,RW,60,24,34,58,7,14,15,9,0,1,22,12,0,180,13.3,302,1126:13,18:46,1,5,16.7,24,43,22,36,,rustbr01
93,Brayden Schenn,30,STL,C,62,24,34,58,21,33,17,7,0,3,24,10,0,111,21.6,197,1102:39,17:47,284,295,49.1,17,119,42,28,,schenbr01
94,Tim Stützle,20,OTT,LW,79,22,36,58,-27,37,14,7,1,4,17,19,0,176,12.5,313,1454:30,18:25,180,293,38.1,52,125,38,51,,stuetti02
95,Oliver Bjorkstrand,26,CBJ,RW,80,28,29,57,-35,16,19,9,0,1,19,10,0,215,13.0,402,1435:59,17:57,10,13,43.5,31,85,57,33,Byng-51,bjorkol01
96,Aaron Ekblad,25,FLA,D,61,15,42,57,38,26,12,3,0,2,22,17,3,180,8.3,317,1520:12,24:55,0,0,,69,62,43,73,ASnhl-6Norris-6,ekblaaa01
97,David Perron,33,STL,LW,67,27,30,57,8,48,16,11,0,2,15,15,0,177,15.3,319,1138:05,16:59,1,3,25.0,11,80,37,18,,perroda01
98,Lucas Raymond,19,DET,LW,82,23,34,57,-32,16,18,5,0,2,21,13,0,184,12.5,287,1488:52,18:09,12,19,38.7,24,62,26,36,AR-1Calder-4,raymolu01
99,Devon Toews,27,COL,D,66,13,44,57,52,20,11,2,0,3,34,10,0,158,8.2,267,1674:22,25:22,0,0,,85,54,45,34,ASnhl-8Byng-27Norris-8,toewsde01
100,Logan Couture,32,SJS,C,77,23,33,56,-11,18,16,5,2,3,20,12,1,199,11.6,314,1457:49,18:56,621,654,48.7,58,92,62,31,,coutulo01
101,Jack Hughes,20,NJD,C,49,26,30,56,-16,0,20,6,0,2,22,8,0,165,15.8,296,958:44,19:34,122,231,34.6,15,6,49,60,ASGByng-7,hugheja03
102,Patrik Laine,23,CBJ,RW,56,26,30,56,-7,24,21,5,0,7,21,9,0,167,15.6,317,1054:27,18:50,14,24,36.8,13,34,27,52,,lainepa01
103,Charlie McAvoy,24,BOS,D,78,10,46,56,31,66,5,4,1,5,29,17,0,166,6.0,295,1921:44,24:38,0,0,,130,155,29,65,ASnhl-4Norris-4,mcavoch01
104,Nikolaj Ehlers,25,WPG,LW,62,28,27,55,18,20,24,4,0,2,22,5,0,245,11.4,450,1120:21,18:04,2,1,66.7,27,32,41,44,Byng-57,ehlerni01
105,Andrew Mangiapane,25,CGY,LW,82,35,20,55,20,38,25,8,2,8,16,3,1,185,18.9,300,1289:37,15:44,21,34,38.2,32,73,52,42,,mangian01
106,Joshua Norris,22,OTT,C,66,35,20,55,-7,16,19,16,0,8,13,7,0,172,20.3,319,1226:13,18:35,529,507,51.1,44,79,24,32,Byng-57,norrijo01
107,Carter Verhaeghe,26,FLA,C,78,24,31,55,24,48,24,0,0,4,28,3,0,167,14.4,312,1252:08,16:03,19,10,65.5,16,50,63,47,,verhaca01
108,Brent Burns,36,SJS,D,82,10,44,54,-15,42,6,4,0,0,29,14,1,203,4.9,446,2144:02,26:09,0,1,0.0,150,55,68,97,ASnhl-16,burnsbr01
109,Zach Hyman,29,EDM,C,76,27,27,54,-9,36,21,5,1,4,19,5,3,213,12.7,353,1479:20,19:28,41,44,48.2,31,74,29,33,,hymanza01
110,Adrian Kempe,25,LAK,LW,78,35,19,54,-2,46,26,6,3,7,9,10,0,247,14.2,443,1449:32,18:35,25,25,50.0,28,111,34,43,ASG,kempead01
111,Ryan Strome,28,NYR,C,74,21,33,54,15,69,15,5,1,5,24,9,0,161,13.0,257,1355:31,18:19,363,455,44.4,19,41,32,37,,stromry01
112,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,10,3,0,3,21,18,1,170,7.6,321,1921:09,24:01,0,0,,91,121,27,51,ASG,dahlira01
113,Gustav Nyquist,32,CBJ,RW,82,18,35,53,-12,26,10,4,4,0,29,6,0,122,14.8,208,1462:56,17:50,14,16,46.7,51,41,46,25,,nyquigu01
114,Andrew Copp,27,2TM,C,72,21,32,53,15,16,16,3,2,5,24,7,1,183,11.5,283,1380:52,19:11,377,332,53.2,41,45,34,43,Selke-24,coppan01
114,Andrew Copp,27,WPG,C,56,13,22,35,2,8,9,3,1,3,15,6,1,151,8.6,234,1108:32,19:48,312,266,54.0,36,35,30,33,,coppan01
114,Andrew Copp,27,NYR,C,16,8,10,18,13,8,7,0,1,2,9,1,0,32,25.0,49,272:20,17:01,65,66,49.6,5,10,4,10,,coppan01
115,Conor Garland,25,VAN,RW,77,19,33,52,18,36,18,1,0,3,31,2,0,203,9.4,331,1263:20,16:24,5,5,50.0,22,52,50,36,,garlaco01
116,Bo Horvat,26,VAN,C,70,31,21,52,3,40,17,13,1,4,15,6,0,194,16.0,303,1365:47,19:31,841,634,57.0,45,96,32,25,Selke-34,horvabo01
117,Phil Kessel,34,ARI,RW,82,8,44,52,-24,40,6,2,0,0,32,12,0,175,4.6,310,1367:33,16:41,4,8,33.3,21,6,39,53,,kesseph01
118,Travis Konecny,24,PHI,C,79,16,36,52,-23,77,13,3,0,3,29,7,0,220,7.3,382,1391:27,17:37,13,18,41.9,34,80,22,28,,konectr01
119,Valeri Nichushkin,26,COL,RW,62,25,27,52,21,14,18,5,2,5,23,4,0,180,13.9,264,1179:37,19:02,0,5,0.0,27,89,38,24,Selke-20,nichuva01
120,Shea Theodore,26,VEG,D,78,14,38,52,6,24,13,1,0,5,27,11,0,205,6.8,417,1804:27,23:08,0,0,,97,37,60,58,,theodsh01
121,Tom Wilson,27,WSH,RW,78,24,28,52,13,98,18,4,2,5,21,6,1,151,15.9,279,1449:25,18:35,22,30,42.3,55,240,36,44,,wilsoto01
122,Phillip Danault,28,LAK,C,79,27,24,51,14,38,25,2,0,5,19,2,3,194,13.9,299,1431:56,18:08,676,586,53.6,49,74,22,29,Selke-8,danauph01
123,Tony DeAngelo,26,CAR,D,64,10,41,51,30,56,8,2,0,2,23,18,0,151,6.6,264,1267:45,19:49,0,0,,59,41,27,39,,deangan01
124,Noah Dobson,22,NYI,D,80,13,38,51,-3,18,10,3,0,4,19,19,0,190,6.8,401,1716:52,21:28,0,0,,154,78,27,82,Byng-47,dobsono01
125,Shayne Gostisbehere,28,ARI,D,82,14,37,51,-23,26,12,2,0,2,20,17,0,151,9.3,314,1819:37,22:11,0,0,,115,60,44,78,,gostish01
126,Seth Jones,27,CHI,D,78,5,46,51,-37,28,5,0,0,0,26,19,1,194,2.6,365,2044:44,26:13,0,0,,155,99,34,71,,jonesse01
127,Alexander Kerfoot,27,TOR,C,82,13,38,51,19,20,13,0,0,1,34,1,3,117,11.1,193,1247:36,15:13,76,102,42.7,65,75,36,40,,kerfoal01
128,Vincent Trocheck,28,CAR,C,81,21,30,51,21,78,15,6,0,3,24,6,0,168,12.5,300,1447:47,17:52,680,565,54.6,46,185,50,42,Selke-24,trochvi01
129,Rasmus Andersson,25,CGY,D,82,4,46,50,30,28,2,2,0,1,28,17,1,152,2.6,289,1859:19,22:40,0,0,,125,63,24,44,,anderra01
130,Cam Atkinson,32,PHI,RW,73,23,27,50,-2,10,18,2,3,6,24,3,0,215,10.7,331,1331:59,18:15,5,12,29.4,45,20,37,28,Byng-15,atkinca01
131,Jared McCann,25,SEA,C,74,27,23,50,-26,33,18,8,1,1,14,9,0,199,13.6,353,1194:13,16:08,224,268,45.5,29,65,43,37,,mccanja01
132,Ryan Nugent-Hopkins,28,EDM,C,63,11,39,50,3,16,7,1,3,1,15,22,2,154,7.1,231,1217:03,19:19,178,259,40.7,34,42,43,34,,nugenry01
133,Moritz Seider,20,DET,D,82,7,43,50,-9,34,5,2,0,4,22,19,2,187,3.7,355,1889:22,23:02,0,0,,161,151,41,48,ASnhl-16AR-1Calder-1,seidemo01
134,Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,22,16,4,0,3,25,4,0,227,8.8,412,1120:38,16:59,12,21,36.4,45,23,24,16,,arvidvi01
135,Sam Bennett,25,FLA,C,71,28,21,49,27,74,23,5,0,7,16,4,1,241,11.6,398,1202:57,16:57,411,466,46.9,27,119,41,49,,bennesa01
136,Joel Eriksson Ek,25,MIN,C,77,26,23,49,16,28,14,12,0,3,18,5,0,223,11.7,330,1430:31,18:35,697,768,47.6,44,138,30,12,Selke-7,eriksjo02
137,Victor Olofsson,26,BUF,RW,72,20,29,49,-16,6,13,7,0,6,23,5,1,164,12.2,293,1107:33,15:23,0,1,0.0,15,10,18,18,Byng-23,olofsvi01
138,Ondřej Palát,30,TBL,LW,77,18,31,49,15,20,17,1,0,5,25,5,1,143,12.6,248,1270:15,16:30,2,16,11.1,42,124,30,25,,palaton01
139,Brandon Saad,29,STL,LW,78,24,25,49,11,10,15,8,1,1,18,5,2,158,15.2,236,1269:10,16:16,8,11,42.1,20,20,45,25,Byng-35,saadbr01
140,Tyler Seguin,30,DAL,C,81,24,25,49,-21,30,21,3,0,2,15,10,0,218,11.0,345,1443:18,17:49,464,364,56.0,33,96,26,48,,seguity01
141,Tyler Toffoli,29,2TM,C,74,20,29,49,-5,14,10,8,2,1,20,8,1,195,10.3,329,1206:27,16:18,18,16,52.9,24,81,27,35,,toffoty01
141,Tyler Toffoli,29,MTL,C,37,9,17,26,-8,4,4,4,1,0,13,4,0,100,9.0,168,648:15,17:31,5,8,38.5,14,46,15,18,,toffoty01
141,Tyler Toffoli,29,CGY,C,37,11,12,23,3,10,6,4,1,1,7,4,1,95,11.6,161,558:12,15:05,13,8,61.9,10,35,12,17,,toffoty01
142,Yanni Gourde,30,SEA,C,74,21,27,48,-13,45,17,3,1,3,20,4,3,127,16.5,245,1367:46,18:29,444,453,49.5,31,77,54,38,,gourdya01
143,Noah Hanifin,25,CGY,D,81,10,38,48,27,19,9,1,0,1,25,12,1,189,5.3,397,1725:31,21:18,0,0,,84,63,38,62,,hanifno01
144,Trevor Moore,26,LAK,LW,81,17,31,48,20,20,11,1,5,1,29,1,1,202,8.4,341,1270:41,15:41,28,39,41.8,32,69,30,17,,mooretr01
