,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,25,EDM,C,80,44,79,123,28,45,34,10,0,9,44,34,1,314,14.0,480,1765:18,22:04,562,484,53.7,26,75,73,68,ASGASnhl-2Byng-34Hart-2Ross-1,mcdavco01
2,Johnny Gaudreau,28,CGY,LW,82,40,75,115,64,26,34,6,0,9,56,19,0,262,15.3,463,1523:08,18:34,1,0,100.0,9,10,50,81,ASGASnhl-1Byng-9Hart-4Selke-27,gaudrjo01
3,Jonathan Huberdeau,28,FLA,LW,80,30,85,115,35,54,22,5,3,7,50,33,2,222,13.5,344,1553:58,19:25,18,36,33.3,28,99,63,85,ASGASnhl-2Byng-26Hart-5,huberjo01
4,Leon Draisaitl,26,EDM,C,80,55,55,110,17,40,30,24,1,11,38,17,0,278,19.8,482,1787:56,22:21,887,774,53.4,25,53,74,88,ASGASnhl-3Byng-43Hart-9,draisle01
5,Kirill Kaprizov,24,MIN,LW,81,47,61,108,27,34,33,14,0,5,44,17,0,289,16.3,515,1547:44,19:06,5,4,55.6,29,73,57,72,ASGASnhl-3Byng-40Hart-7,kapriki01
6,Auston Matthews,24,TOR,C,73,60,46,106,20,18,44,16,0,10,33,13,0,348,17.2,599,1504:28,20:37,691,538,56.2,62,67,92,48,ASGASnhl-1Byng-10Hart-1Richard-1Selke-10Pearson-1,matthau01
7,Steven Stamkos,31,TBL,C,81,42,64,106,24,36,26,16,0,11,44,20,0,241,17.4,401,1497:08,18:29,545,523,51.0,31,93,30,24,ASGASnhl-4Byng-13Hart-11,stamkst01
8,Matthew Tkachuk,24,CGY,RW,82,42,62,104,57,68,30,12,0,6,45,17,0,253,16.6,455,1467:45,17:54,20,23,46.5,20,93,41,91,ASnhl-2ASnhl-9Hart-14Selke-27,tkachma01
9,J.T. Miller,28,VAN,C,80,32,67,99,15,47,24,8,0,6,35,30,2,206,15.5,350,1686:09,21:05,667,566,54.1,56,172,56,62,ASnhl-7Hart-14Selke-23,millejt01
10,Mitch Marner,24,TOR,RW,72,35,62,97,23,16,26,6,3,5,42,19,1,224,15.6,420,1503:34,20:53,10,8,55.6,31,75,72,63,ASnhl-1Byng-4Selke-16,marnemi01
11,Roman Josi,31,NSH,D,80,23,73,96,13,46,12,11,0,2,47,26,0,281,8.2,563,2044:21,25:33,0,0,,133,66,48,71,ASnhl-2Byng-43Hart-6Norris-2,josiro01
12,Artemi Panarin,30,NYR,LW,75,22,74,96,21,18,17,5,0,5,42,32,0,177,12.4,370,1441:07,19:13,1,1,50.0,14,22,56,71,ASnhl-7Byng-12,panarar01
13,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,36,8,3,9,26,20,0,317,14.8,499,1720:14,21:47,1,6,14.3,23,32,66,47,ASGASnhl-8Byng-1,connoky01
14,Patrick Kane,33,CHI,RW,78,26,66,92,-19,18,17,9,0,2,44,22,0,287,9.1,514,1702:13,21:49,4,4,50.0,26,11,42,49,ASnhl-4Byng-24,kanepa01
15,Mikko Rantanen,25,COL,RW,75,36,56,92,35,56,20,16,0,2,37,19,0,254,14.2,459,1573:52,20:59,164,190,46.3,43,58,48,49,ASnhl-3,rantami01
16,Alex Ovechkin,36,WSH,LW,77,50,40,90,8,18,33,16,1,5,27,13,0,334,15.0,642,1584:02,20:34,4,9,30.8,25,156,32,50,ASGASnhl-4Byng-31Hart-10,ovechal01
17,Aleksander Barkov,26,FLA,C,67,39,49,88,36,18,23,12,4,5,34,14,1,214,18.2,340,1360:19,20:18,713,539,56.9,42,50,59,51,ASnhl-5Byng-8Hart-12Selke-3,barkoal01
18,Nathan MacKinnon,26,COL,C,65,32,56,88,22,42,25,7,0,5,36,20,0,299,10.7,501,1368:58,21:04,383,461,45.4,39,68,37,56,ASGASnhl-6ASnhl-11Byng-66,mackina01
19,Nazem Kadri,31,COL,C,71,28,59,87,13,71,20,8,0,6,38,21,0,247,11.3,439,1365:58,19:14,585,592,49.7,19,52,36,34,ASGSelke-27,kadrina01
20,Matt Duchene,31,NSH,C,78,43,43,86,6,38,27,16,0,6,30,13,0,228,18.9,382,1483:04,19:01,119,101,54.1,28,31,31,77,ASnhl-7,duchema01
21,Cale Makar,23,COL,D,77,28,58,86,48,26,19,9,0,6,33,25,0,240,11.7,494,1976:26,25:40,0,0,,110,95,49,40,ASGASnhl-1Byng-47Hart-8Norris-1,makarca01
22,Kevin Fiala,25,MIN,LW,82,33,52,85,23,52,27,5,1,7,40,12,0,262,12.6,453,1447:04,17:39,4,11,26.7,21,52,38,54,,fialake01
23,Victor Hedman,31,TBL,D,82,20,65,85,26,36,14,6,0,6,33,32,0,219,9.1,462,2056:12,25:05,0,0,,129,93,52,56,ASGASnhl-3Norris-3,hedmavi01
24,Sidney Crosby,34,PIT,C,69,31,53,84,19,32,23,8,0,9,31,22,0,208,14.9,334,1378:14,19:58,760,690,52.4,37,50,34,54,ASnhl-9Selke-34,crosbsi01
25,Filip Forsberg,27,NSH,C,69,42,42,84,12,22,32,10,0,8,25,17,0,226,18.6,424,1248:45,18:06,1,0,100.0,48,112,53,56,ASnhl-9Byng-50,forsbfi01
26,Jake Guentzel,27,PIT,C,76,40,44,84,13,44,33,7,0,7,29,15,0,264,15.2,434,1527:24,20:06,13,12,52.0,38,72,41,23,ASG,guentja01
27,Elias Lindholm,27,CGY,C,82,42,40,82,61,22,31,10,1,9,30,9,1,235,17.9,380,1635:29,19:57,842,750,52.9,52,66,55,41,ASnhl-10Byng-36Selke-2,lindhel01
28,Sam Reinhart,26,FLA,C,78,33,49,82,25,13,17,16,0,6,32,15,2,186,17.7,325,1385:11,17:46,174,185,48.5,30,49,37,43,Byng-19Selke-27,reinhsa01
29,Vladimir Tarasenko,30,STL,RW,75,34,48,82,7,32,29,5,0,9,30,17,1,230,14.8,382,1268:21,16:55,4,7,36.4,45,83,17,31,ASnhl-6,tarasvl01
30,Sebastian Aho,24,CAR,F,79,37,44,81,18,38,23,13,1,9,27,15,2,221,16.7,402,1497:21,18:57,555,504,52.4,23,76,68,56,ASGByng-38Selke-14,ahose01
31,Joe Pavelski,37,DAL,C,82,27,54,81,11,14,15,12,0,2,41,13,0,216,12.5,374,1514:52,18:28,394,357,52.5,69,104,35,44,ASGASnhl-9Byng-6Selke-22,paveljo01
32,Mika Zibanejad,28,NYR,C,81,29,52,81,30,12,13,15,1,3,35,13,4,219,13.2,383,1590:49,19:38,700,638,52.3,47,67,62,58,Byng-5Selke-15,zibanmi01
33,Brad Marchand,33,BOS,LW,70,32,48,80,16,97,23,7,2,6,28,20,0,242,13.2,397,1347:23,19:15,14,27,34.1,20,78,40,62,Selke-12,marchbr03
34,William Nylander,25,TOR,C,81,34,46,80,-9,16,21,13,0,7,28,18,0,256,13.3,467,1480:03,18:16,34,31,52.3,30,19,59,33,,nylanwi01
35,Jason Robertson,22,DAL,LW,74,41,38,79,16,22,28,13,0,11,30,8,0,220,18.6,400,1340:20,18:07,0,0,,24,50,48,50,ASnhl-6Hart-13,roberja01
36,Mats Zuccarello,34,MIN,LW,70,24,55,79,21,24,17,7,0,2,34,21,0,159,15.1,268,1301:15,18:35,21,34,38.2,33,36,48,43,ASnhl-11,zuccama01
